Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,74,28
2025,7,July,0,1,41,17
2025,6,June,5,1,136,74
2025,5,May,5,15,152,57
2025,4,April,5,4,85,38
2025,3,March,6,4,186,133
2025,2,February,3,10,98,51
2025,1,January,0,2,231,94
2024,12,December,4,1,106,24
2024,11,November,2,1,62,47
2024,10,October,0,3,43,7
2024,9,September,41,6,6,2
2024,8,August,19,5,40,15
2024,7,July,1,0,96,57
2024,6,June,1,6,112,19
2024,5,May,0,45,188,39
2024,4,April,14,10,92,83
2024,3,March,12,12,117,90
2024,2,February,9,17,75,55
2024,1,January,2,3,76,31
2023,12,December,0,0,80,25
2023,11,November,20,7,72,22
2023,10,October,0,1,36,24
2023,9,September,3,2,31,3
2023,8,August,0,5,52,55
2023,7,July,1,3,83,25
2023,6,June,0,1,91,43
2023,5,May,6,10,117,38
2023,4,April,0,12,96,57
2023,3,March,0,1,156,80
2023,2,February,0,7,101,50
2023,1,January,4,5,42,51
2022,12,December,7,9,116,13
2022,11,November,6,11,57,46
2022,10,October,0,5,32,16
2022,9,September,4,1,10,15
2022,8,August,8,14,37,31
2022,7,July,1,0,107,61
2022,6,June,26,3,92,20
2022,5,May,4,13,116,30
2022,4,April,0,5,109,64
2022,3,March,0,6,108,93
2022,2,February,1,6,59,26
2022,1,January,0,1,59,19
2021,12,December,0,30,65,19
2021,11,November,38,11,41,46
2021,10,October,0,3,45,13
2021,9,September,8,15,46,31
2021,8,August,0,1,37,37
2021,7,July,0,4,48,40
2021,6,June,4,2,32,43
2021,5,May,5,1,38,29
2021,4,April,0,2,25,74
2021,3,March,0,2,107,62
2021,2,February,0,1,20,15
2021,1,January,7,1,60,10
2020,12,December,6,1,44,18
2020,11,November,0,1,17,13
2020,10,October,1,0,3,11
2020,9,September,0,1,8,0
2020,8,August,0,0,7,15
2020,7,July,0,3,71,23
2020,6,June,0,0,9,12
2020,5,May,0,1,2,0
2020,4,April,0,1,0,0
2020,3,March,1,1,76,57
2020,2,February,0,3,37,34
2020,1,January,0,6,31,38
2019,12,December,2,8,45,10
2019,11,November,0,12,27,10
2019,10,October,3,0,2,3
2019,9,September,0,1,44,9
2019,8,August,0,0,69,27
2019,7,July,0,2,77,24
2019,6,June,1,4,130,55
2019,5,May,0,4,30,58
2019,4,April,0,1,65,29
2019,3,March,0,5,105,34
2019,2,February,0,0,9,15
2019,1,January,0,3,74,66
