Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,29078,31159,54520,62849
2025,7,July,28988,26286,76525,86808
2025,6,June,26592,30531,89221,86059
2025,5,May,38746,43912,82901,74671
2025,4,April,56793,63372,68255,71318
2025,3,March,67009,68990,84517,87672
2025,2,February,64482,60595,64985,65953
2025,1,January,58022,56530,63480,77219
2024,12,December,58487,60883,86259,74004
2024,11,November,56575,59846,70701,69005
2024,10,October,50207,45954,71121,73122
2024,9,September,33399,33020,57383,59509
2024,8,August,35799,33331,59105,67317
2024,7,July,32653,31430,82607,94294
2024,6,June,28490,31385,92575,87864
2024,5,May,42709,46589,85230,75437
2024,4,April,56416,66868,72989,75463
2024,3,March,69481,66419,81797,83368
2024,2,February,58989,56100,65643,66550
2024,1,January,56363,54360,63071,75131
2023,12,December,51374,52943,74003,64421
2023,11,November,53837,55588,65653,65928
2023,10,October,41887,39277,61964,61983
2023,9,September,28350,26720,48840,47639
2023,8,August,30067,28753,52914,59332
2023,7,July,26702,24003,70722,80122
2023,6,June,21535,22197,76279,69570
2023,5,May,30824,32502,68350,63415
2023,4,April,52503,60333,64227,66708
2023,3,March,66147,65383,77897,77932
2023,2,February,59964,54815,62974,66030
2023,1,January,54041,52790,63582,76244
2022,12,December,50596,51749,77547,67516
2022,11,November,55727,57885,68681,70119
2022,10,October,39869,36976,62882,64725
2022,9,September,26808,25038,49492,47061
2022,8,August,24055,23131,48915,60134
2022,7,July,22165,20012,66459,76594
2022,6,June,19273,21501,72474,65586
2022,5,May,27601,30034,62777,56858
2022,4,April,40485,47725,58252,57395
2022,3,March,40654,39173,60304,60038
2022,2,February,29771,25997,43623,43189
2022,1,January,22809,22084,39237,48176
2021,12,December,29239,33228,59674,50367
2021,11,November,31619,30003,48111,49667
2021,10,October,30930,18206,43733,44249
2021,9,September,18735,11567,27161,26887
2021,8,August,17217,11421,28240,36113
2021,7,July,15009,8620,43169,45080
2021,6,June,12904,7761,44534,44619
2021,5,May,14663,9805,43708,41268
2021,4,April,14391,9066,40599,40860
2021,3,March,11766,5689,35633,32618
2021,2,February,8469,4830,19131,17162
2021,1,January,12679,8159,20320,28360
2020,12,December,15450,10814,33538,25177
2020,11,November,11536,7061,25951,25778
2020,10,October,7472,4040,23656,20904
2020,9,September,4337,2357,8096,6866
2020,8,August,2915,1802,5239,5501
2020,7,July,4062,2311,12580,10109
2020,6,June,1079,916,2789,1920
2020,5,May,224,134,298,546
2020,4,April,229,298,351,1008
2020,3,March,28836,45918,23994,33437
2020,2,February,59195,54815,40842,43263
2020,1,January,56354,51707,40279,50914
2019,12,December,50559,51759,54771,47043
2019,11,November,53965,54289,39850,40779
2019,10,October,43609,38158,42442,44039
2019,9,September,26290,24916,30589,32304
2019,8,August,26216,25131,39814,46533
2019,7,July,23612,21023,51481,59577
2019,6,June,22443,23191,55586,52437
2019,5,May,34451,36723,49595,44384
2019,4,April,59590,67784,42530,46617
2019,3,March,71154,71203,49131,52515
2019,2,February,64490,60703,38561,40049
2019,1,January,64417,62426,38172,49489
