Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2024,12,December,0,1,0,0
2024,11,November,0,0,2,0
2024,10,October,2,6,5,8
2024,9,September,0,0,3,4
2024,8,August,1,0,1,4
2024,7,July,11,10,9,12
2024,6,June,1,0,1,0
2024,5,May,0,0,0,1
2024,4,April,0,0,0,3
2024,1,January,1,0,0,0
2023,11,November,3,1,0,0
2023,10,October,0,0,5,3
2023,9,September,2,2,9,9
2023,8,August,2,1,0,2
2023,7,July,5,4,4,6
2023,6,June,0,0,5,2
2023,5,May,0,0,0,2
2023,4,April,1,1,0,1
2023,2,February,1,0,0,0
2022,12,December,1,1,0,0
2022,11,November,9,9,0,1
2022,10,October,5,4,3,1
2022,9,September,0,0,0,8
2022,8,August,8,1,0,4
2022,7,July,6,3,6,7
2022,6,June,1,2,0,2
2022,5,May,0,0,2,3
2022,3,March,2,0,0,0
2022,2,February,2,0,0,0
2021,11,November,1,1,0,1
2021,10,October,5,0,0,4
2021,8,August,3,0,3,0
2021,7,July,1,0,0,0
2020,3,March,0,5,1,0
2019,12,December,0,1,0,0
2019,11,November,1,0,1,1
2019,10,October,1,1,2,0
2019,9,September,4,0,0,0
2019,8,August,3,0,0,0
2019,7,July,10,6,3,8
2019,6,June,0,0,7,6
2019,5,May,4,3,0,1
2019,4,April,0,3,0,0
2019,3,March,1,0,0,0
2019,1,January,1,0,1,0
