Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,3639,3476,8165,8863
2025,7,July,3015,2549,11144,11866
2025,6,June,3122,3185,13265,12405
2025,5,May,3690,3739,10952,9681
2025,4,April,2398,2150,6828,6910
2025,3,March,2069,2040,6144,5755
2025,2,February,1554,2269,3779,3382
2025,1,January,2108,1541,3232,3624
2024,12,December,2120,2695,4475,4231
2024,11,November,2116,2294,4346,4180
2024,10,October,3333,3314,6438,8735
2024,9,September,2821,2852,8906,8703
2024,8,August,3735,3184,10001,11231
2024,7,July,3572,3013,12598,13388
2024,6,June,2777,2701,15175,12712
2024,5,May,3038,3274,9400,8232
2024,4,April,2598,2627,5381,5217
2024,3,March,2257,2195,6597,6144
2024,2,February,1870,1787,3971,3700
2024,1,January,1843,1945,3498,3881
2023,12,December,2102,2544,4777,4518
2023,11,November,2441,2551,3676,3591
2023,10,October,2910,2851,4427,6125
2023,9,September,2558,2615,6740,5958
2023,8,August,3002,2827,6182,7382
2023,7,July,2270,2234,8726,9969
2023,6,June,2575,2270,10002,8535
2023,5,May,2805,2711,7033,6116
2023,4,April,1713,1526,4636,4854
2023,3,March,1926,1648,4425,4331
2023,2,February,1490,1290,2875,2872
2023,1,January,1874,1486,2742,3103
2022,12,December,1756,2226,3588,3736
2022,11,November,1971,1992,3045,3044
2022,10,October,2330,2141,2988,3736
2022,9,September,2216,2059,4253,3997
2022,8,August,2563,2031,4733,5809
2022,7,July,2246,1751,7246,8144
2022,6,June,2005,1812,8325,6135
2022,5,May,1354,1542,4005,3510
2022,4,April,683,773,3303,3362
2022,3,March,611,673,2605,2719
2022,2,February,372,293,1997,2066
2022,1,January,606,364,1410,1774
2021,12,December,794,1057,2596,2267
2021,11,November,995,860,2136,2396
2021,10,October,1401,1096,1870,2150
2021,9,September,999,779,1746,1873
2021,8,August,1248,752,2730,3216
2021,7,July,106,105,3734,3764
2021,6,June,14,21,1582,1836
2021,5,May,35,36,646,1187
2021,4,April,24,11,552,948
2021,3,March,6,9,207,213
2021,2,February,2,1,17,21
2021,1,January,3,4,10,2
2020,12,December,6,2,40,6
2020,11,November,5,3,4,3
2020,10,October,13,9,12,8
2020,9,September,3,2,2,7
2020,8,August,33,9,19,99
2020,7,July,19,2,19,80
2020,6,June,1,5,11,1
2020,5,May,2,4,9,9
2020,4,April,3,1,6,14
2020,3,March,1081,1348,3184,5374
2020,2,February,2227,2192,5271,5268
2020,1,January,2566,2241,3870,4344
2019,12,December,2614,3178,4725,4772
2019,11,November,3163,3084,4491,4686
2019,10,October,3659,3596,5329,6310
2019,9,September,3364,3448,6662,6894
2019,8,August,4398,4094,8024,9639
2019,7,July,3946,3419,11127,12185
2019,6,June,3301,3525,13160,11417
2019,5,May,3474,3541,8895,7928
2019,4,April,2588,2260,8116,8299
2019,3,March,1893,1909,7200,8082
2019,2,February,1632,1531,4733,5037
2019,1,January,2296,1703,3536,4086
