Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,3,3,3,3
2025,7,July,1,0,1,31
2025,6,June,18,3,1,16
2025,5,May,21,0,4,0
2024,12,December,0,0,0,3
2024,11,November,3,0,0,1
2024,10,October,12,2,0,6
2024,9,September,10,2,7,3
2024,8,August,2,1,9,13
2024,7,July,5,4,0,1
2024,6,June,12,5,10,3
2024,5,May,12,5,0,2
2024,4,April,5,5,0,0
2024,3,March,1,11,1,0
2024,2,February,4,0,0,0
2023,12,December,2,5,0,3
2023,10,October,13,0,0,1
2023,9,September,4,3,0,2
2023,8,August,9,10,2,2
2023,7,July,0,7,4,2
2023,6,June,0,5,1,7
2023,5,May,8,2,1,0
2023,4,April,3,1,1,0
2023,3,March,5,2,0,1
2023,2,February,4,2,0,0
2023,1,January,13,1,0,0
2022,12,December,0,12,0,0
2022,11,November,11,4,0,0
2022,10,October,12,3,6,7
2022,9,September,4,2,2,0
2022,8,August,2,28,136,32
2022,7,July,2,4,11,2
2022,6,June,5,5,1,8
2022,5,May,4,2,0,0
2022,4,April,1,0,0,0
2022,3,March,3,3,0,4
2022,2,February,1,0,0,0
2022,1,January,4,1,0,3
2021,12,December,4,4,3,0
2021,11,November,0,0,1,2
2021,10,October,1,4,1,1
2021,9,September,32,11,1,2
2021,8,August,20,6,1,2
2021,7,July,22,0,2,0
2021,6,June,0,0,0,1
2021,5,May,2,0,0,0
2021,4,April,0,4,0,1
2021,3,March,0,1,2,0
2021,2,February,5,1,1,0
2021,1,January,5,0,1,2
2020,12,December,6,1,0,0
2020,11,November,6,0,0,0
2020,10,October,3,0,0,0
2020,9,September,0,0,0,1
2020,8,August,0,0,0,2
2020,7,July,2,0,0,0
2020,6,June,2,0,0,0
2020,5,May,2,0,1,1
2020,3,March,0,0,1,0
2020,2,February,0,0,1,5
2020,1,January,6,5,8,0
2019,12,December,2,0,0,0
2019,11,November,4,0,0,0
2019,10,October,1,4,1,0
2019,8,August,1,4,2,1
2019,7,July,0,0,1,0
2019,6,June,1,1,2,0
2019,4,April,0,2,0,0
2019,3,March,0,0,1,0
2019,2,February,0,0,5,5
