Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,16,4,20,44
2025,7,July,24,11,36,26
2025,6,June,8,13,27,40
2025,5,May,48,12,25,29
2025,4,April,11,0,3,6
2025,3,March,5,2,10,8
2025,2,February,8,0,1,4
2025,1,January,15,0,0,9
2024,12,December,12,0,0,3
2024,11,November,6,16,0,7
2024,10,October,28,7,5,13
2024,9,September,23,9,3,25
2024,8,August,10,2,10,35
2024,7,July,37,17,30,36
2024,6,June,18,24,8,17
2024,5,May,17,7,0,9
2024,4,April,34,6,17,33
2024,3,March,16,7,10,14
2024,2,February,1,1,0,8
2024,1,January,4,0,0,1
2023,12,December,6,0,2,5
2023,11,November,14,17,0,14
2023,10,October,8,4,10,26
2023,9,September,22,4,13,15
2023,8,August,27,5,20,46
2023,7,July,8,0,17,40
2023,6,June,6,3,13,24
2023,5,May,9,3,12,23
2023,4,April,15,15,20,9
2023,3,March,21,0,2,1
2023,2,February,14,0,0,1
2023,1,January,9,4,3,2
2022,12,December,2,0,4,6
2022,11,November,11,3,0,1
2022,10,October,16,5,11,28
2022,9,September,16,6,12,34
2022,8,August,32,8,8,36
2022,7,July,21,5,16,43
2022,6,June,21,10,17,34
2022,5,May,9,4,8,14
2022,4,April,21,2,23,17
2022,3,March,16,5,0,0
2022,2,February,0,4,0,0
2022,1,January,1,0,0,1
2021,12,December,3,0,0,0
2021,11,November,4,1,2,4
2021,10,October,15,5,1,1
2021,9,September,17,0,1,8
2021,8,August,8,0,1,3
2021,7,July,2,0,4,0
2021,6,June,0,2,0,0
2021,5,May,1,0,0,0
2021,4,April,0,0,7,0
2021,3,March,0,0,5,0
2021,1,January,1,0,0,2
2020,12,December,2,0,0,0
2020,11,November,2,0,0,0
2020,10,October,9,1,0,0
2020,9,September,3,0,0,0
2020,8,August,9,0,0,0
2020,7,July,16,0,2,1
2020,6,June,2,0,0,2
2020,5,May,0,0,2,2
2020,3,March,15,0,0,1
2020,2,February,3,0,3,0
2020,1,January,27,0,14,10
2019,12,December,5,6,12,4
2019,11,November,15,2,2,7
2019,10,October,26,6,8,18
2019,9,September,24,6,2,40
2019,8,August,17,18,26,63
2019,7,July,29,21,42,77
2019,6,June,19,15,31,45
2019,5,May,39,18,25,17
2019,4,April,12,8,12,14
2019,3,March,14,2,7,20
2019,2,February,17,2,19,22
2019,1,January,5,4,1,2
