Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,3,0
2025,7,July,0,0,2,0
2025,4,April,0,0,2,0
2025,3,March,2,2,0,0
2025,1,January,0,3,1,0
2024,8,August,0,1,0,0
2024,7,July,1,0,1,2
2024,6,June,0,0,4,0
2023,10,October,0,0,1,4
2023,9,September,0,0,3,6
2023,8,August,0,2,10,10
2023,7,July,3,3,3,1
2023,6,June,1,1,6,3
2023,5,May,0,0,5,10
2023,4,April,2,0,3,6
2023,3,March,1,1,3,0
2023,1,January,0,0,3,3
2022,12,December,0,0,3,0
2022,11,November,0,0,3,0
2022,9,September,2,2,0,0
2022,8,August,2,0,1,2
2022,7,July,0,0,1,0
2022,6,June,1,0,2,3
2022,4,April,3,2,1,1
2022,3,March,0,3,0,0
2021,10,October,1,0,0,0
2019,12,December,0,0,1,0
2019,11,November,1,1,0,0
2019,10,October,0,2,2,0
2019,9,September,0,1,5,0
2019,8,August,1,4,11,13
2019,7,July,0,0,1,1
2019,6,June,1,2,8,6
2019,5,May,0,0,3,4
2019,4,April,0,0,1,0
2019,3,March,0,1,4,2
2019,1,January,0,0,3,3
