Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,13360,15309,24349,27779
2025,7,July,12750,12485,26881,29991
2025,6,June,11532,10902,29033,25374
2025,5,May,9911,10647,23134,23053
2025,4,April,8862,8189,20765,23316
2025,3,March,6683,7119,22402,22524
2025,2,February,5328,5439,16399,18107
2025,1,January,6322,7606,18119,22593
2024,12,December,7513,8964,24844,24074
2024,11,November,6567,9501,18163,18509
2024,10,October,9295,11439,19643,22819
2024,9,September,13175,14159,25222,26111
2024,8,August,17353,18623,28507,32608
2024,7,July,17123,17024,31156,35152
2024,6,June,15092,13568,32182,26927
2024,5,May,12074,12337,24416,23579
2024,4,April,8850,8890,19022,20413
2024,3,March,9652,9564,25108,23137
2024,2,February,6963,6906,19522,19520
2024,1,January,7763,8273,17420,20711
2023,12,December,8185,9801,22916,19938
2023,11,November,7115,9599,18048,18155
2023,10,October,9391,11447,20553,24642
2023,9,September,11791,12388,25333,24697
2023,8,August,14845,15910,27176,30785
2023,7,July,14944,13940,28805,33778
2023,6,June,13522,11652,29754,25385
2023,5,May,9716,10324,21465,20724
2023,4,April,8741,8625,17098,17653
2023,3,March,8432,7572,19695,17760
2023,2,February,6642,5989,13768,15118
2023,1,January,7383,7843,15200,18890
2022,12,December,7695,8402,19281,17830
2022,11,November,7370,8685,14551,16639
2022,10,October,8698,9657,14847,19293
2022,9,September,10259,10158,20261,20825
2022,8,August,12139,13049,20906,24776
2022,7,July,13412,12038,21236,25666
2022,6,June,10086,8355,23479,17808
2022,5,May,6599,6619,10942,10304
2022,4,April,4693,4701,10107,11233
2022,3,March,3293,3405,14004,14034
2022,2,February,2390,2141,11296,10886
2022,1,January,2674,2954,10056,12100
2021,12,December,3498,4359,14982,13899
2021,11,November,3320,4355,10533,10736
2021,10,October,4206,4691,6707,7195
2021,9,September,4137,4258,5104,6057
2021,8,August,4595,4714,5943,7326
2021,7,July,3576,3040,5234,5028
2021,6,June,2601,1713,2555,2532
2021,5,May,2314,1526,5366,6133
2021,4,April,1703,1222,5928,6262
2021,3,March,1379,855,983,1502
2021,2,February,1388,715,2477,3153
2021,1,January,2129,1868,4653,6873
2020,12,December,2042,2447,6649,5799
2020,11,November,1679,2967,5441,4998
2020,10,October,1773,2654,4713,3671
2020,9,September,1721,1957,1216,1369
2020,8,August,2098,1701,1440,1825
2020,7,July,1862,1171,1234,1427
2020,6,June,1172,833,816,846
2020,5,May,8,68,38,4
2020,4,April,463,610,323,630
2020,3,March,4588,5025,8469,12793
2020,2,February,9788,9040,17914,19597
2020,1,January,11013,10614,18833,22647
2019,12,December,11614,12458,20732,19139
2019,11,November,9801,11619,16524,17393
2019,10,October,11867,13471,15328,18560
2019,9,September,16633,16991,25218,26766
2019,8,August,21508,22869,27869,31685
2019,7,July,21635,19161,30835,36316
2019,6,June,18353,16909,32905,27163
2019,5,May,13520,13678,22025,20042
2019,4,April,11449,10384,18228,20489
2019,3,March,11342,11138,21202,20160
2019,2,February,9403,8240,14972,15968
2019,1,January,10292,9414,15189,18845
