Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,14,87,537,94
2025,7,July,8,34,140,49
2025,6,June,217,266,443,144
2025,5,May,11,52,223,70
2025,4,April,21,57,298,63
2025,3,March,2,3,54,129
2025,2,February,17,22,55,112
2025,1,January,7,6,111,208
2024,12,December,20,37,48,74
2024,11,November,9,4,45,106
2024,10,October,5,22,1530,58
2024,9,September,12,25,727,95
2024,8,August,22,26,400,132
2024,7,July,34,30,297,205
2024,6,June,15,9,258,104
2024,5,May,14,9,227,82
2024,4,April,23,15,302,170
2024,3,March,10,13,458,167
2024,2,February,19,10,52,39
2024,1,January,0,0,63,71
2023,12,December,18,266,117,49
2023,11,November,7,4,28,54
2023,10,October,1,9,61,49
2023,9,September,7,5,52,59
2023,8,August,22,25,78,87
2023,7,July,13,21,61,90
2023,6,June,16,17,245,97
2023,5,May,22,18,99,834
2023,4,April,5,4,427,139
2023,3,March,5,12,127,117
2023,2,February,17,8,80,107
2023,1,January,14,5,99,217
2022,12,December,14,10,99,88
2022,11,November,21,22,70,125
2022,10,October,40,29,92,138
2022,9,September,15,25,47,51
2022,8,August,18,38,61,102
2022,7,July,157,6,96,120
2022,6,June,15,6,145,154
2022,5,May,24,19,588,569
2022,4,April,6,5,44,103
2022,3,March,4,6,72,77
2022,2,February,19,5,42,53
2022,1,January,5,1,30,57
2021,12,December,8,1,113,68
2021,11,November,6,5,42,78
2021,10,October,23,8,39,96
2021,9,September,2,5,39,44
2021,8,August,15,9,27,23
2021,7,July,8,2,32,47
2021,6,June,2,2,21,35
2021,5,May,10,8,18,14
2021,4,April,22,0,18,46
2021,3,March,1,0,22,15
2021,2,February,0,5,14,8
2021,1,January,0,0,40,7
2020,12,December,0,1,8,17
2020,11,November,5,6,10,66
2020,10,October,2,0,14,9
2020,9,September,5,2,12,11
2020,8,August,4,0,3,2
2020,7,July,0,3,9,3
2020,6,June,3,1,4,7
2020,5,May,2,0,0,9
2020,4,April,23,0,0,9
2020,3,March,7,6,49,61
2020,2,February,37,17,138,226
2020,1,January,6,13,156,190
2019,12,December,41,34,187,265
2019,11,November,18,30,390,186
2019,10,October,21,4,23,105
2019,9,September,8,5,525,303
2019,8,August,32,19,446,371
2019,7,July,48,17,90,349
2019,6,June,29,22,434,417
2019,5,May,32,6,347,405
2019,4,April,38,13,402,306
2019,3,March,15,9,669,330
2019,2,February,25,11,305,257
2019,1,January,11,8,42,122
