Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,4,4,2
2025,3,March,0,0,4,0
2024,12,December,0,1,10,0
2024,8,August,0,0,5,6
2024,7,July,0,0,2,0
2024,6,June,0,1,2,0
2024,3,March,0,3,3,0
2024,1,January,0,3,1,0
2023,12,December,0,0,15,0
2023,10,October,0,0,22,2
2023,9,September,0,0,4,0
2023,8,August,0,6,0,2
2023,7,July,0,3,5,0
2023,6,June,0,7,4,0
2023,5,May,0,3,0,0
2023,3,March,0,0,4,0
2023,2,February,0,0,5,0
2023,1,January,0,2,0,0
2022,12,December,0,5,16,0
2022,9,September,0,0,6,0
2022,7,July,0,1,1,0
2022,6,June,0,0,2,0
2022,4,April,0,0,8,0
2021,12,December,0,0,21,0
2021,10,October,0,0,5,0
2021,8,August,0,1,8,0
2021,5,May,0,0,7,0
2021,2,February,0,0,5,0
2020,7,July,0,0,5,0
2020,2,February,0,2,0,0
2020,1,January,0,0,1,1
2019,12,December,0,8,1,1
2019,9,September,0,2,0,0
2019,8,August,0,1,0,0
2019,7,July,0,6,8,0
2019,6,June,5,2,2,0
2019,5,May,0,0,8,4
2019,4,April,0,2,1,0
2019,3,March,0,2,1,0
