Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,9,0
2024,1,January,0,0,0,11
2023,11,November,0,0,0,1
2023,7,July,0,0,6,4
2023,6,June,4,0,6,16
2023,4,April,0,0,1,0
2022,12,December,0,1,9,0
2022,9,September,0,0,4,14
2022,6,June,2,0,0,5
2022,5,May,0,0,2,0
2022,2,February,0,0,0,1
2022,1,January,0,0,0,8
2021,12,December,0,0,8,8
2021,11,November,0,0,0,1
2021,9,September,0,2,0,3
2021,8,August,7,1,0,0
2021,7,July,1,0,0,1
2021,6,June,8,0,0,20
2021,5,May,0,5,0,0
2020,11,November,2,0,0,0
2020,3,March,0,0,4,5
2019,12,December,0,0,1,0
2019,11,November,0,0,7,6
2019,9,September,0,0,2,2
2019,8,August,0,0,0,1
2019,7,July,0,0,0,11
2019,6,June,0,0,7,0
2019,5,May,0,0,9,15
2019,4,April,0,0,4,0
2019,3,March,0,0,6,12
2019,2,February,0,0,0,3
2019,1,January,0,0,0,9
