Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,16,12,78,25
2025,7,July,13,17,94,111
2025,6,June,17,26,160,111
2025,5,May,20,25,135,55
2025,4,April,33,42,130,152
2025,3,March,17,19,158,117
2025,2,February,20,18,96,57
2025,1,January,22,29,116,133
2024,12,December,25,21,116,110
2024,11,November,37,31,137,108
2024,10,October,25,56,163,132
2024,9,September,22,63,60,58
2024,8,August,15,21,65,59
2024,7,July,39,69,132,82
2024,6,June,17,9,105,73
2024,5,May,35,16,105,41
2024,4,April,29,32,44,71
2024,3,March,16,11,205,168
2024,2,February,18,15,45,92
2024,1,January,23,27,41,144
2023,12,December,31,15,112,35
2023,11,November,28,22,85,89
2023,10,October,19,29,64,58
2023,9,September,35,28,71,40
2023,8,August,27,30,120,114
2023,7,July,12,5,117,139
2023,6,June,16,18,137,157
2023,5,May,31,40,157,88
2023,4,April,28,20,87,100
2023,3,March,24,14,89,78
2023,2,February,27,13,69,43
2023,1,January,21,22,34,103
2022,12,December,33,26,203,58
2022,11,November,28,48,158,134
2022,10,October,35,59,42,80
2022,9,September,15,19,67,92
2022,8,August,40,18,58,28
2022,7,July,27,65,129,73
2022,6,June,10,15,95,47
2022,5,May,13,34,49,39
2022,4,April,46,50,161,104
2022,3,March,32,14,108,74
2022,2,February,38,20,51,34
2022,1,January,16,2,57,81
2021,12,December,17,31,118,42
2021,11,November,28,28,82,96
2021,10,October,43,50,42,67
2021,9,September,10,35,10,16
2021,8,August,21,0,25,36
2021,7,July,13,23,87,27
2021,6,June,16,8,37,39
2021,5,May,7,5,55,36
2021,4,April,12,18,79,50
2021,3,March,9,5,53,29
2021,2,February,8,6,23,61
2021,1,January,17,8,53,123
2020,12,December,12,1,70,13
2020,11,November,2,6,37,41
2020,10,October,9,0,7,7
2020,9,September,2,1,3,10
2020,8,August,0,3,16,34
2020,7,July,6,3,35,21
2020,6,June,2,2,8,6
2020,5,May,1,12,0,0
2020,4,April,4,3,0,6
2020,3,March,15,8,67,54
2020,2,February,35,17,59,91
2020,1,January,11,21,29,23
2019,12,December,33,22,29,53
2019,11,November,35,32,71,42
2019,10,October,22,23,62,32
2019,9,September,12,21,54,27
2019,8,August,5,20,34,38
2019,7,July,11,11,37,32
2019,6,June,34,32,72,47
2019,5,May,20,33,71,51
2019,4,April,33,51,62,59
2019,3,March,10,17,88,65
2019,2,February,33,27,81,52
2019,1,January,24,29,76,89
