Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,3,0
2025,4,April,0,0,1,0
2025,2,February,0,0,7,0
2024,6,June,0,0,14,0
2024,4,April,0,0,1,0
2023,10,October,0,2,5,0
2023,8,August,0,0,3,0
2023,6,June,0,0,3,0
2023,3,March,0,0,4,0
2023,2,February,0,0,1,0
2022,11,November,0,0,6,0
2022,10,October,0,0,3,0
2022,7,July,0,0,1,0
2022,6,June,0,0,8,0
2022,5,May,0,0,1,0
2022,4,April,0,0,6,0
2022,2,February,0,0,4,0
2021,12,December,0,0,1,0
2021,9,September,0,0,4,0
2021,7,July,0,0,6,0
2021,6,June,0,0,4,0
2021,5,May,0,0,12,0
2021,3,March,0,0,4,0
2020,11,November,0,0,9,0
2020,8,August,0,0,4,0
2020,7,July,0,0,1,0
2020,6,June,0,0,7,0
2020,4,April,0,0,3,0
2020,3,March,0,0,4,0
2019,10,October,0,1,4,0
2019,7,July,0,0,6,0
2019,6,June,0,0,7,0
2019,3,March,0,1,11,0
2019,1,January,0,0,4,0
