Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,8,15,98,111
2025,7,July,8,16,75,57
2025,6,June,1,4,41,33
2025,5,May,0,1,47,24
2025,4,April,1,1,10,9
2025,3,March,2,1,5,6
2025,2,February,1,1,0,2
2025,1,January,0,0,7,1
2024,12,December,8,8,4,1
2024,11,November,1,7,7,1
2024,10,October,3,5,20,15
2024,9,September,1,0,41,41
2024,8,August,1,6,109,63
2024,7,July,2,7,114,71
2024,6,June,2,3,44,21
2024,5,May,1,3,21,18
2024,4,April,4,4,22,20
2024,3,March,0,0,11,6
2024,2,February,8,4,4,9
2024,1,January,0,0,2,2
2023,12,December,3,3,9,3
2023,11,November,0,0,2,2
2023,10,October,6,3,4,8
2023,9,September,0,1,53,43
2023,8,August,0,8,79,45
2023,7,July,12,8,129,90
2023,6,June,3,7,11,4
2023,5,May,0,0,20,12
2023,4,April,2,11,20,25
2023,3,March,0,0,6,6
2023,2,February,0,0,16,10
2023,1,January,0,1,6,3
2022,12,December,2,22,11,8
2022,11,November,0,3,13,10
2022,10,October,1,4,10,7
2022,9,September,0,2,19,10
2022,8,August,14,14,96,82
2022,7,July,0,2,70,70
2022,6,June,1,1,46,32
2022,5,May,0,5,32,13
2022,4,April,0,0,14,15
2022,3,March,0,0,4,5
2022,2,February,0,1,11,2
2022,1,January,0,0,4,2
2021,12,December,0,0,11,3
2021,11,November,0,0,1,0
2021,10,October,9,0,1,1
2021,9,September,0,0,24,22
2021,8,August,6,6,16,18
2021,7,July,1,1,0,0
2021,6,June,0,0,6,0
2021,4,April,0,1,0,0
2020,6,June,0,0,3,0
2020,4,April,0,0,1,0
2020,3,March,0,0,7,8
2020,2,February,0,3,18,12
2020,1,January,0,0,11,3
2019,12,December,0,0,6,8
2019,11,November,3,2,7,5
2019,10,October,0,0,6,10
2019,9,September,3,4,45,16
2019,8,August,6,10,81,69
2019,7,July,2,4,102,94
2019,6,June,0,1,42,29
2019,5,May,0,0,21,16
2019,4,April,1,0,13,12
2019,3,March,0,1,15,15
2019,2,February,8,7,11,11
2019,1,January,0,0,8,4
