Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,91,36,190,240
2025,7,July,65,56,245,290
2025,6,June,114,43,272,283
2025,5,May,11,15,41,39
2025,4,April,6,5,37,31
2025,3,March,13,2,74,175
2025,2,February,249,219,35,46
2025,1,January,2,28,49,38
2024,12,December,25,10,59,47
2024,11,November,16,5,84,103
2024,10,October,6,5,38,54
2024,9,September,79,3,33,40
2024,8,August,0,14,29,29
2024,7,July,13,12,42,42
2024,6,June,10,10,85,88
2024,5,May,24,9,88,34
2024,4,April,4,11,39,31
2024,3,March,147,169,75,90
2024,2,February,13,5,77,61
2024,1,January,9,27,108,146
2023,12,December,40,15,106,50
2023,11,November,14,12,37,51
2023,10,October,17,25,79,54
2023,9,September,30,38,39,19
2023,8,August,54,15,50,183
2023,7,July,8,31,229,19
2023,6,June,24,39,81,61
2023,5,May,50,62,88,75
2023,4,April,35,44,92,86
2023,3,March,40,44,90,136
2023,2,February,25,31,108,79
2023,1,January,23,21,65,88
2022,12,December,30,31,87,29
2022,11,November,13,11,42,72
2022,10,October,35,41,51,51
2022,9,September,22,41,50,14
2022,8,August,19,11,19,46
2022,7,July,24,27,55,65
2022,6,June,10,12,92,25
2022,5,May,31,30,44,85
2022,4,April,1,8,104,45
2022,3,March,10,15,123,75
2022,2,February,10,12,32,2
2022,1,January,9,5,38,86
2021,12,December,18,19,91,172
2021,11,November,21,0,50,45
2021,10,October,11,16,9,7
2021,9,September,7,5,39,17
2021,8,August,3,6,2,26
2021,7,July,1,2,39,25
2021,6,June,0,2,16,11
2021,5,May,36,0,32,245
2021,4,April,25,9,26,15
2021,3,March,0,2,40,49
2021,2,February,4,0,17,36
2021,1,January,3,2,32,87
2020,12,December,0,1,73,24
2020,11,November,9,12,51,13
2020,10,October,8,0,40,30
2020,9,September,0,0,44,8
2020,8,August,0,2,19,9
2020,7,July,0,0,31,27
2020,6,June,0,0,2,2
2020,4,April,0,2,0,0
2020,3,March,7,14,49,103
2020,2,February,9,12,24,23
2020,1,January,12,10,25,53
2019,12,December,14,9,102,87
2019,11,November,39,6,46,56
2019,10,October,19,13,50,57
2019,9,September,28,27,36,50
2019,8,August,7,2,82,90
2019,7,July,14,12,34,20
2019,6,June,16,15,83,97
2019,5,May,14,9,43,45
2019,4,April,7,13,104,94
2019,3,March,4,13,125,131
2019,2,February,15,4,24,39
2019,1,January,28,13,56,64
