Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,2,0,0
2025,4,April,0,0,7,0
2025,1,January,0,0,2,0
2024,10,October,0,5,4,0
2024,9,September,271,0,6,0
2024,6,June,0,0,4,0
2024,4,April,0,0,2,0
2023,11,November,0,3,3,0
2023,6,June,0,7,0,0
2023,1,January,0,0,9,0
2022,5,May,0,0,1,0
2022,1,January,0,6,0,0
2021,11,November,0,0,11,0
2021,10,October,0,0,0,1
2021,9,September,0,0,6,0
2021,5,May,0,3,7,0
2021,3,March,0,0,4,0
2021,1,January,0,0,8,0
2020,11,November,0,0,4,0
2020,10,October,0,0,10,0
2020,9,September,0,0,5,0
2020,8,August,0,0,7,0
2020,7,July,0,0,8,0
2020,6,June,0,0,6,0
2020,5,May,0,0,0,1
2020,2,February,0,1,4,24
2019,10,October,0,1,1,0
2019,9,September,0,1,10,12
2019,8,August,0,0,2,0
2019,7,July,0,0,1,0
2019,6,June,0,2,47,0
2019,5,May,0,0,4,2
2019,3,March,1,0,0,3
