Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,13,20,92,110
2025,7,July,11,14,68,45
2025,6,June,42,73,107,76
2025,5,May,25,7,79,53
2025,4,April,38,49,41,24
2025,3,March,10,25,101,121
2025,2,February,26,35,66,34
2025,1,January,32,16,80,133
2024,12,December,8,26,63,24
2024,11,November,7,31,81,50
2024,10,October,45,30,71,57
2024,9,September,39,41,30,50
2024,8,August,8,11,55,54
2024,7,July,25,38,92,30
2024,6,June,66,64,62,36
2024,5,May,31,31,33,30
2024,4,April,17,33,94,33
2024,3,March,22,24,44,72
2024,2,February,41,42,52,50
2024,1,January,41,40,95,64
2023,12,December,11,8,27,57
2023,11,November,8,27,92,52
2023,10,October,27,25,65,50
2023,9,September,25,26,41,39
2023,8,August,27,37,57,62
2023,7,July,30,18,69,31
2023,6,June,8,40,60,28
2023,5,May,73,28,49,42
2023,4,April,28,26,57,76
2023,3,March,27,27,83,46
2023,2,February,34,21,23,31
2023,1,January,12,17,52,50
2022,12,December,17,13,28,17
2022,11,November,11,12,87,55
2022,10,October,29,62,39,25
2022,9,September,9,11,40,10
2022,8,August,22,24,39,30
2022,7,July,6,11,76,35
2022,6,June,9,36,99,28
2022,5,May,31,8,49,30
2022,4,April,37,21,68,68
2022,3,March,16,12,41,36
2022,2,February,9,9,52,29
2022,1,January,6,6,20,27
2021,12,December,9,14,88,34
2021,11,November,3,5,61,17
2021,10,October,17,2,12,10
2021,9,September,0,7,44,38
2021,8,August,10,8,27,11
2021,7,July,1,4,82,56
2021,6,June,1,3,34,23
2021,5,May,2,7,28,34
2021,4,April,2,1,36,18
2021,3,March,1,2,56,47
2021,2,February,0,0,19,10
2021,1,January,2,1,21,18
2020,12,December,4,5,20,21
2020,11,November,0,0,15,24
2020,10,October,0,0,33,25
2020,9,September,1,1,17,5
2020,8,August,0,0,2,5
2020,7,July,0,0,16,9
2020,6,June,0,0,25,2
2020,5,May,0,1,1,0
2020,4,April,1,0,2,3
2020,3,March,4,6,9,13
2020,2,February,20,25,30,33
2020,1,January,9,6,44,37
2019,12,December,16,20,46,9
2019,11,November,28,23,30,13
2019,10,October,32,34,64,53
2019,9,September,19,29,19,14
2019,8,August,19,32,24,24
2019,7,July,62,65,29,37
2019,6,June,20,32,71,63
2019,5,May,51,59,65,59
2019,4,April,46,42,32,28
2019,3,March,16,34,74,61
2019,2,February,42,45,42,43
2019,1,January,16,19,33,28
