Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,1,22,19
2025,7,July,2,1,7,23
2025,6,June,0,0,8,12
2025,5,May,3,2,37,58
2025,4,April,0,4,10,32
2025,3,March,0,0,29,40
2025,2,February,0,0,5,14
2025,1,January,2,6,0,27
2024,12,December,8,0,40,25
2024,11,November,0,0,9,9
2024,10,October,0,0,5,0
2024,9,September,0,0,0,1
2024,8,August,3,0,5,9
2024,7,July,3,1,13,33
2024,6,June,0,3,25,38
2024,5,May,0,0,24,47
2024,4,April,0,0,19,63
2024,3,March,0,0,42,32
2024,2,February,0,2,4,20
2024,1,January,0,0,1,34
2023,12,December,0,0,51,43
2023,11,November,0,0,60,52
2023,10,October,3,0,22,29
2023,9,September,0,0,0,1
2023,8,August,0,0,7,28
2023,7,July,0,0,16,54
2023,6,June,0,0,39,24
2023,5,May,0,0,34,46
2023,4,April,0,0,31,42
2023,3,March,2,0,38,46
2023,2,February,0,0,42,37
2023,1,January,0,0,6,46
2022,12,December,0,0,42,29
2022,11,November,29,0,18,46
2022,10,October,0,0,4,5
2022,9,September,0,0,12,11
2022,8,August,0,0,11,0
2022,7,July,0,0,25,62
2022,6,June,0,0,47,32
2022,5,May,0,0,30,45
2022,4,April,2,4,27,22
2022,3,March,2,4,28,23
2022,2,February,0,0,18,35
2022,1,January,0,0,2,26
2021,12,December,3,1,11,9
2021,11,November,7,0,5,38
2021,10,October,1,0,13,18
2021,9,September,1,1,7,9
2021,7,July,0,0,8,26
2021,6,June,0,0,61,49
2021,5,May,1,6,48,48
2021,4,April,0,0,12,27
2021,3,March,2,0,2,19
2021,2,February,0,0,10,11
2021,1,January,0,0,12,40
2020,12,December,0,0,13,7
2020,11,November,3,0,0,3
2020,7,July,0,0,4,0
2020,2,February,0,0,14,30
2020,1,January,0,2,10,12
2019,12,December,10,7,1,14
2019,11,November,5,8,10,15
2019,10,October,0,0,2,18
2019,8,August,0,0,19,37
2019,7,July,2,13,13,46
2019,6,June,0,0,42,46
2019,5,May,0,0,10,18
2019,4,April,3,8,26,29
2019,3,March,8,7,5,16
2019,2,February,0,0,13,23
2019,1,January,1,4,9,25
