Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,8,0,0
2025,5,May,0,6,0,0
2025,3,March,0,6,1,0
2025,1,January,0,5,0,0
2024,4,April,0,7,1,0
2024,3,March,0,4,0,0
2023,11,November,0,9,2,0
2023,5,May,159,3,1,14
2023,1,January,0,0,1,0
2022,12,December,0,0,7,0
2022,11,November,0,0,7,0
2022,7,July,0,0,1,0
2022,5,May,0,3,6,0
2022,4,April,0,0,4,0
2021,11,November,0,0,4,0
2021,9,September,0,0,4,0
2019,4,April,0,1,1,0
2019,3,March,0,0,2,0
