Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,24845,24341,51387,63130
2025,7,July,18120,19508,81007,79137
2025,6,June,14559,16723,69204,67699
2025,5,May,13609,14966,56363,51978
2025,4,April,18691,19310,50814,53882
2025,3,March,17330,20236,47213,51508
2025,2,February,17039,17093,39985,39317
2025,1,January,21264,22872,36210,55610
2024,12,December,20817,25503,57636,45996
2024,11,November,14889,15164,52781,50418
2024,10,October,13098,12247,42684,44287
2024,9,September,11881,11808,33713,42413
2024,8,August,19395,16384,45351,60454
2024,7,July,15189,14966,64707,70125
2024,6,June,11741,12128,57851,59716
2024,5,May,10859,12103,49466,47986
2024,4,April,13157,13992,38349,43747
2024,3,March,17007,18711,43471,42937
2024,2,February,15398,15707,31798,32200
2024,1,January,17507,18146,31608,46131
2023,12,December,16000,18652,44461,35703
2023,11,November,10602,11034,38666,40186
2023,10,October,8305,9578,36532,37480
2023,9,September,7682,9177,30456,33103
2023,8,August,12981,12508,38341,51929
2023,7,July,9820,11902,56463,59119
2023,6,June,9322,11010,49594,50102
2023,5,May,9444,11918,41938,42190
2023,4,April,12876,13877,34806,38909
2023,3,March,13735,14215,33001,33867
2023,2,February,12111,12417,27584,28319
2023,1,January,14135,14333,25338,37778
2022,12,December,11833,14713,36606,27486
2022,11,November,7949,9135,29442,31279
2022,10,October,5905,6907,26474,26678
2022,9,September,4864,5479,21088,23551
2022,8,August,9135,8408,27123,37247
2022,7,July,7413,8543,38622,39096
2022,6,June,7043,8646,36805,35607
2022,5,May,6612,7686,27768,27527
2022,4,April,8619,9331,24172,24666
2022,3,March,7790,8153,23621,24013
2022,2,February,6617,6565,19530,21106
2022,1,January,8092,8323,17033,27390
2021,12,December,8903,10326,25848,20865
2021,11,November,6266,6674,24009,24589
2021,10,October,5901,6295,21092,21185
2021,9,September,6121,5874,16299,18836
2021,8,August,7317,6485,19315,28418
2021,7,July,5651,6337,27868,26597
2021,6,June,4782,4913,19227,19513
2021,5,May,3155,4270,13152,11716
2021,4,April,3209,3038,7244,10563
2021,3,March,2797,2691,6833,7329
2021,2,February,2438,2464,4905,6419
2021,1,January,4655,3293,6249,12831
2020,12,December,2786,6840,11774,6995
2020,11,November,2403,3139,6677,7042
2020,10,October,1661,2001,3648,4008
2020,9,September,1522,1865,2945,3351
2020,8,August,1407,1873,2741,3639
2020,7,July,1343,2964,4655,3676
2020,6,June,608,257,519,2022
2020,5,May,333,83,49,1253
2020,4,April,229,88,50,1270
2020,3,March,7102,10005,9817,16856
2020,2,February,14200,16773,22121,23255
2020,1,January,14126,17029,20108,29288
2019,12,December,16468,18689,29750,25937
2019,11,November,13613,13950,26469,25696
2019,10,October,9503,10227,22035,22283
2019,9,September,7881,9383,18847,21261
2019,8,August,11540,12239,23039,29717
2019,7,July,9766,10777,35893,38098
2019,6,June,9218,11134,35717,36488
2019,5,May,10323,11748,30923,28244
2019,4,April,14553,16575,25074,26056
2019,3,March,15303,17578,22022,24657
2019,2,February,13304,14956,19361,20436
2019,1,January,14843,16560,18845,28358
