Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,25,6,104,80
2025,7,July,18,44,233,126
2025,6,June,133,113,151,219
2025,5,May,32,51,197,304
2025,4,April,1456,2037,369,332
2025,3,March,2040,2140,540,772
2025,2,February,2161,1774,477,490
2025,1,January,1617,1474,399,564
2024,12,December,1682,1386,463,439
2024,11,November,1545,1278,437,488
2024,10,October,258,117,79,104
2024,9,September,35,43,75,76
2024,8,August,26,35,58,53
2024,7,July,92,63,127,151
2024,6,June,38,17,190,173
2024,5,May,18,158,245,191
2024,4,April,1175,1335,313,346
2024,3,March,1668,1804,639,543
2024,2,February,1780,1330,416,452
2024,1,January,1415,1179,354,484
2023,12,December,1404,1215,406,402
2023,11,November,1496,975,349,453
2023,10,October,182,45,88,104
2023,9,September,86,33,54,159
2023,8,August,31,25,78,59
2023,7,July,28,58,133,98
2023,6,June,26,33,221,133
2023,5,May,45,90,177,142
2023,4,April,2825,3833,759,735
2023,3,March,4162,4252,846,883
2023,2,February,3480,2526,561,719
2023,1,January,2730,2697,603,864
2022,12,December,2990,1758,531,644
2022,11,November,2161,1593,427,600
2022,10,October,102,77,89,130
2022,9,September,17,17,51,49
2022,8,August,40,44,111,92
2022,7,July,26,44,147,169
2022,6,June,27,61,182,143
2022,5,May,19,62,162,134
2022,4,April,82,174,210,200
2022,3,March,128,130,211,162
2022,2,February,100,61,145,135
2022,1,January,110,121,135,217
2021,12,December,161,70,107,102
2021,11,November,119,75,154,125
2021,10,October,60,36,90,61
2021,9,September,15,22,71,124
2021,8,August,22,32,77,66
2021,7,July,25,23,182,141
2021,6,June,14,11,114,161
2021,5,May,28,26,127,114
2021,4,April,62,26,160,202
2021,3,March,117,11,159,117
2021,2,February,24,18,69,76
2021,1,January,42,32,68,62
2020,12,December,47,9,56,40
2020,11,November,32,18,55,50
2020,10,October,24,8,37,28
2020,9,September,4,16,9,2
2020,8,August,1,5,26,10
2020,7,July,0,8,48,8
2020,6,June,0,6,4,0
2020,5,May,0,13,0,0
2020,4,April,9,21,5,1
2020,3,March,2379,3866,587,428
2020,2,February,4574,4023,866,707
2020,1,January,3959,3427,873,786
2019,12,December,3464,2425,649,685
2019,11,November,3072,2419,576,580
2019,10,October,456,167,122,175
2019,9,September,21,20,52,54
2019,8,August,26,35,39,36
2019,7,July,19,15,70,52
2019,6,June,27,28,124,95
2019,5,May,24,48,109,86
2019,4,April,3157,4008,562,695
2019,3,March,4957,5480,715,846
2019,2,February,4461,3699,546,797
2019,1,January,3350,3083,459,691
