Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,6,0
2025,7,July,0,0,11,0
2025,6,June,0,0,3,0
2025,5,May,0,0,6,0
2025,4,April,0,0,5,0
2025,3,March,0,0,1,2
2025,2,February,0,1,13,9
2025,1,January,1,0,3,8
2024,12,December,0,1,3,0
2024,11,November,0,1,3,1
2024,10,October,4,8,7,6
2024,9,September,0,0,4,4
2024,8,August,0,0,2,2
2024,7,July,0,0,3,5
2024,6,June,0,0,2,0
2024,5,May,0,0,1,1
2024,4,April,0,0,1,1
2024,3,March,0,0,2,0
2024,2,February,0,1,3,4
2024,1,January,0,4,2,0
2023,11,November,0,14,6,0
2023,10,October,0,0,2,0
2023,9,September,0,0,2,0
2023,8,August,0,0,4,0
2023,7,July,0,0,9,7
2023,6,June,0,0,2,0
2023,5,May,0,0,2,1
2023,4,April,0,0,3,2
2023,2,February,0,1,8,0
2022,9,September,0,1,1,0
2022,8,August,2,2,0,0
2022,3,March,0,0,1,0
2021,8,August,0,4,1,0
2021,3,March,0,0,1,1
2019,10,October,0,6,0,0
2019,8,August,0,0,2,0
2019,7,July,0,0,6,0
2019,1,January,0,0,2,0
