Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,167251,172750,183006,215640
2025,7,July,158382,148345,204393,230178
2025,6,June,132883,135332,211348,192157
2025,5,May,129730,132076,184634,179234
2025,4,April,111777,100121,176400,194870
2025,3,March,108033,102968,168534,169198
2025,2,February,88399,89883,135985,140540
2025,1,January,115076,107979,133560,159736
2024,12,December,108721,114309,162760,152450
2024,11,November,94702,113988,140615,141632
2024,10,October,116708,132743,149898,162343
2024,9,September,145208,143948,162964,167951
2024,8,August,168536,170942,175714,200749
2024,7,July,161797,153645,185409,206969
2024,6,June,135486,133901,194194,173232
2024,5,May,125118,128872,165194,155627
2024,4,April,103494,96001,146058,155675
2024,3,March,105703,99131,150886,147027
2024,2,February,84139,83240,125263,124955
2024,1,January,99817,94486,113102,134852
2023,12,December,98404,105577,144817,137005
2023,11,November,84289,99723,119372,127229
2023,10,October,97605,108684,125169,147295
2023,9,September,120377,114933,145128,145850
2023,8,August,139064,140780,150219,172117
2023,7,July,133443,124948,164505,186913
2023,6,June,114351,109963,176381,156002
2023,5,May,107150,106828,153331,149422
2023,4,April,89147,82679,141747,150584
2023,3,March,91731,80492,137575,134346
2023,2,February,67553,65460,106310,106549
2023,1,January,84857,82651,105276,121011
2022,12,December,82768,85322,122064,114188
2022,11,November,68256,80153,104094,107913
2022,10,October,82947,90231,112898,125700
2022,9,September,99390,92837,122320,126292
2022,8,August,111097,109760,124221,144815
2022,7,July,104849,97243,133851,149202
2022,6,June,88229,85425,137590,119713
2022,5,May,80183,79228,112241,108747
2022,4,April,65027,60419,98500,100065
2022,3,March,54877,51050,90559,87619
2022,2,February,32820,30570,62497,60047
2022,1,January,39310,38255,53713,67554
2021,12,December,46832,47640,74410,72619
2021,11,November,36824,37265,60397,64583
2021,10,October,30734,31677,56254,59475
2021,9,September,34242,26815,47096,49979
2021,8,August,35728,29296,53246,62586
2021,7,July,27073,26494,52310,52549
2021,6,June,19044,17666,40695,41305
2021,5,May,14523,13628,33485,37649
2021,4,April,12112,10130,32349,35933
2021,3,March,9817,8411,29592,29673
2021,2,February,7226,6871,18926,19927
2021,1,January,11066,9525,17767,25874
2020,12,December,10000,13403,21869,21624
2020,11,November,7734,12925,18258,19573
2020,10,October,8614,11909,16043,15761
2020,9,September,9196,10151,6350,8576
2020,8,August,10026,11155,6806,9516
2020,7,July,6972,8172,4936,8716
2020,6,June,5698,6283,2854,6599
2020,5,May,2225,3557,1054,2750
2020,4,April,2139,6707,1163,3174
2020,3,March,32384,50950,37910,65629
2020,2,February,86130,84532,93810,106884
2020,1,January,118880,108931,106028,123386
2019,12,December,108993,117667,124840,117238
2019,11,November,92679,102913,105654,110969
2019,10,October,109270,126546,117700,126729
2019,9,September,139903,134185,121636,130220
2019,8,August,156467,162238,127618,145009
2019,7,July,146656,135911,138630,155359
2019,6,June,127700,131762,140434,129978
2019,5,May,121578,127283,122545,119959
2019,4,April,107949,100637,123493,134197
2019,3,March,100765,101443,122464,120081
2019,2,February,85761,84530,90923,94251
2019,1,January,102491,96515,95580,108301
