Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,0,22,12
2025,7,July,0,0,60,18
2025,6,June,0,0,80,46
2025,5,May,0,3,74,3
2025,4,April,0,0,28,22
2025,3,March,5,2,51,4
2025,2,February,13,14,27,10
2025,1,January,0,1,55,52
2024,12,December,0,0,24,1
2024,11,November,0,8,36,11
2024,10,October,0,0,51,35
2024,9,September,0,0,15,0
2024,8,August,0,0,8,43
2024,7,July,0,2,82,2
2024,6,June,0,0,43,12
2024,5,May,0,0,38,10
2024,4,April,0,2,42,5
2024,3,March,1,0,55,57
2024,2,February,0,4,50,4
2024,1,January,0,6,57,3
2023,12,December,0,1,26,12
2023,11,November,0,0,58,4
2023,10,October,0,6,66,32
2023,9,September,0,2,7,0
2023,8,August,0,0,17,6
2023,7,July,0,2,34,8
2023,6,June,0,0,43,4
2023,5,May,146,0,27,3
2023,4,April,5,5,79,32
2023,3,March,0,0,81,25
2023,2,February,0,2,32,14
2023,1,January,159,3,29,9
2022,12,December,0,0,101,0
2022,11,November,5,5,21,3
2022,10,October,0,4,34,14
2022,9,September,6,11,6,4
2022,8,August,0,0,32,16
2022,7,July,0,4,88,15
2022,6,June,2,0,74,1
2022,5,May,0,0,63,35
2022,4,April,41,0,31,20
2022,3,March,0,2,34,1
2022,2,February,0,0,19,7
2022,1,January,0,0,21,14
2021,12,December,0,2,20,7
2021,11,November,0,3,27,11
2021,10,October,0,2,22,2
2021,9,September,0,0,4,3
2021,8,August,0,0,24,3
2021,7,July,0,0,55,3
2021,6,June,0,0,72,8
2021,5,May,0,1,18,3
2021,4,April,0,12,39,6
2021,3,March,0,5,36,7
2021,2,February,0,3,14,0
2021,1,January,0,3,31,2
2020,12,December,0,0,20,0
2020,11,November,0,0,13,0
2020,10,October,0,0,6,1
2020,8,August,0,7,37,1
2020,7,July,0,0,42,0
2020,6,June,0,0,18,0
2020,5,May,0,0,10,8
2020,3,March,0,2,16,0
2020,2,February,0,1,31,9
2020,1,January,3,3,19,1
2019,12,December,0,1,50,0
2019,11,November,0,1,56,6
2019,10,October,0,0,18,8
2019,9,September,0,2,20,6
2019,8,August,2,0,36,47
2019,7,July,1,0,37,46
2019,6,June,0,1,63,22
2019,5,May,0,5,37,6
2019,4,April,0,0,33,1
2019,3,March,0,0,31,15
2019,2,February,0,2,94,10
2019,1,January,0,0,14,2
