Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,1
2025,7,July,0,0,5,1
2025,6,June,0,1,0,0
2025,5,May,1,0,0,0
2025,1,January,0,3,0,0
2024,12,December,0,0,0,1
2024,10,October,0,0,0,1
2024,9,September,5,0,1,0
2024,8,August,1,2,12,1
2024,7,July,0,0,7,0
2024,6,June,1,0,4,0
2023,9,September,0,0,0,4
2023,8,August,8,0,0,0
2023,7,July,4,9,9,6
2023,6,June,2,0,0,0
2023,5,May,0,1,2,0
2023,3,March,0,4,0,0
2022,9,September,0,14,0,0
2022,8,August,0,0,0,3
2022,1,January,0,0,6,0
2021,12,December,0,0,10,0
2021,10,October,0,0,0,1
2021,7,July,2,2,0,0
2019,9,September,0,0,1,0
2019,7,July,9,0,0,0
2019,6,June,8,7,0,0
