Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,1
2025,7,July,0,0,0,7
2025,5,May,0,0,0,15
2025,4,April,0,0,0,14
2025,3,March,0,0,0,8
2024,12,December,0,0,0,8
2024,11,November,0,0,0,15
2024,10,October,0,0,0,1
2024,8,August,0,0,0,6
2024,7,July,0,0,0,21
2024,6,June,0,0,0,6
2024,3,March,0,0,0,1
2023,12,December,0,0,0,8
2023,4,April,0,0,0,1
2022,12,December,0,0,0,7
2022,5,May,0,0,0,10
2022,4,April,2,0,0,1
2022,3,March,0,0,0,2
2021,12,December,0,0,0,3
2021,10,October,0,0,0,5
2021,6,June,4,0,0,1
2021,4,April,0,0,0,3
2019,11,November,0,0,0,12
2019,10,October,0,0,0,1
2019,8,August,0,0,0,1
2019,7,July,0,0,0,5
2019,5,May,0,0,0,2
2019,4,April,2,0,0,12
2019,3,March,7,0,0,14
2019,2,February,0,0,0,3
