Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2867,3077,14937,17419
2025,7,July,2729,2572,25556,26191
2025,6,June,2782,2750,27810,26566
2025,5,May,3059,3355,20876,18086
2025,4,April,2531,2098,14478,14597
2025,3,March,2202,1992,20823,21190
2025,2,February,1885,1507,16641,16813
2025,1,January,2489,1880,15336,16169
2024,12,December,2099,2586,16678,15261
2024,11,November,2122,2238,13038,12392
2024,10,October,2437,2742,13956,15523
2024,9,September,2474,2247,12769,13014
2024,8,August,2989,2754,14374,16714
2024,7,July,2870,2643,26177,26854
2024,6,June,2372,2290,29012,28098
2024,5,May,2984,3068,21684,18583
2024,4,April,2383,2167,15866,16759
2024,3,March,2700,2226,21418,22018
2024,2,February,1992,1663,15594,15295
2024,1,January,2306,1803,14450,15550
2023,12,December,2420,2791,15681,14952
2023,11,November,2084,2399,12363,11657
2023,10,October,2561,2496,10596,11388
2023,9,September,2185,2161,8947,7896
2023,8,August,3034,2555,12289,14584
2023,7,July,2791,2354,23496,22928
2023,6,June,2252,2136,23939,23219
2023,5,May,2726,2886,18940,17019
2023,4,April,2129,2159,16920,17377
2023,3,March,2144,1932,21105,20418
2023,2,February,1586,1304,14978,15036
2023,1,January,2156,1804,15570,15933
2022,12,December,2152,2600,15828,14633
2022,11,November,2051,2123,12635,12731
2022,10,October,2481,2337,13036,13668
2022,9,September,2264,2109,10406,10434
2022,8,August,2451,2345,13377,15849
2022,7,July,2172,1707,19242,20252
2022,6,June,1894,1482,19576,19500
2022,5,May,1009,982,14606,14186
2022,4,April,381,313,12762,13974
2022,3,March,396,532,17260,17461
2022,2,February,214,166,12466,12369
2022,1,January,377,263,10373,12504
2021,12,December,347,403,11629,10539
2021,11,November,141,169,7933,7687
2021,10,October,140,149,6310,6462
2021,9,September,130,93,3707,4270
2021,8,August,365,318,7155,8955
2021,7,July,276,181,12342,12801
2021,6,June,167,183,11747,11989
2021,5,May,149,148,10528,10109
2021,4,April,199,127,8585,9074
2021,3,March,151,150,8319,7890
2021,2,February,82,83,4090,3971
2021,1,January,177,85,4551,5510
2020,12,December,94,131,3993,3636
2020,11,November,88,64,2335,2205
2020,10,October,22,40,1347,1821
2020,9,September,34,32,1361,1627
2020,8,August,68,32,914,886
2020,7,July,3,14,68,25
2020,6,June,2,7,37,44
2020,5,May,12,2,11,2
2020,4,April,0,8,0,1
2020,3,March,575,696,7562,10419
2020,2,February,1181,1143,11135,11215
2020,1,January,1593,1540,10463,11142
2019,12,December,1698,1986,11521,10724
2019,11,November,1600,1546,8332,8694
2019,10,October,2119,1963,8937,9087
2019,9,September,1965,1857,5183,5533
2019,8,August,1657,1834,6805,8510
2019,7,July,1544,1447,14150,14814
2019,6,June,1380,1445,15770,15834
2019,5,May,1842,2001,14392,13790
2019,4,April,2056,1981,11667,13049
2019,3,March,1402,1518,16050,17255
2019,2,February,1494,1259,12292,12640
2019,1,January,1894,1744,11935,12650
