Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,5,5,157,183
2025,7,July,16,9,221,160
2025,6,June,7,12,217,129
2025,5,May,11,11,230,153
2025,4,April,5,14,152,145
2025,3,March,31,59,246,166
2025,2,February,20,9,186,142
2025,1,January,16,35,148,132
2024,12,December,4,7,187,131
2024,11,November,40,15,91,51
2024,10,October,2,0,33,27
2024,9,September,10,27,95,48
2024,8,August,34,20,159,184
2024,7,July,19,11,196,191
2024,6,June,10,8,147,205
2024,5,May,31,19,191,238
2024,4,April,10,26,201,119
2024,3,March,27,43,209,167
2024,2,February,6,35,162,99
2024,1,January,39,36,124,223
2023,12,December,31,22,139,88
2023,11,November,24,15,70,82
2023,10,October,22,3,106,126
2023,9,September,1,25,85,23
2023,8,August,6,12,118,129
2023,7,July,5,8,154,189
2023,6,June,10,16,279,152
2023,5,May,33,29,178,244
2023,4,April,1622,2213,353,210
2023,3,March,2435,2472,276,317
2023,2,February,1924,1862,179,165
2023,1,January,2037,1767,176,245
2022,12,December,1621,1529,251,167
2022,11,November,1591,1583,254,184
2022,10,October,1366,1042,169,192
2022,9,September,376,388,189,186
2022,8,August,546,547,221,163
2022,7,July,479,359,273,263
2022,6,June,451,479,408,190
2022,5,May,1006,1453,241,127
2022,4,April,1891,2148,259,74
2022,3,March,2014,1843,226,118
2022,2,February,1252,706,96,84
2022,1,January,590,476,81,83
2021,12,December,757,811,127,97
2021,11,November,807,424,120,77
2021,10,October,7,14,48,32
2021,9,September,26,10,48,81
2021,8,August,8,9,140,63
2021,7,July,1,8,143,129
2021,6,June,21,10,245,177
2021,5,May,4,13,168,73
2021,4,April,12,8,126,105
2021,3,March,8,2,100,54
2021,2,February,39,9,57,41
2021,1,January,9,7,42,41
2020,12,December,2,9,83,31
2020,11,November,2,7,25,17
2020,10,October,7,5,35,19
2020,9,September,0,8,24,11
2020,8,August,4,0,83,57
2020,7,July,10,22,145,26
2020,6,June,2,10,14,13
2020,5,May,0,4,7,4
2020,4,April,0,4,0,0
2020,3,March,600,1028,113,84
2020,2,February,1379,1295,180,102
2020,1,January,1066,968,113,69
2019,12,December,410,766,140,76
2019,11,November,553,641,80,49
2019,10,October,16,14,104,72
2019,9,September,24,42,210,112
2019,8,August,14,24,169,108
2019,7,July,3,16,231,73
2019,6,June,9,19,204,61
2019,5,May,141,383,152,102
2019,4,April,1070,1380,149,87
2019,3,March,1471,1660,385,187
2019,2,February,1429,1018,138,84
2019,1,January,418,743,99,149
