Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,13,6,46,24
2025,7,July,7,10,29,28
2025,6,June,7,22,40,11
2025,5,May,13,8,71,24
2025,4,April,21,27,83,55
2025,3,March,15,11,206,47
2025,2,February,15,32,119,64
2025,1,January,10,43,141,35
2024,12,December,17,4,69,130
2024,11,November,4,12,51,37
2024,10,October,5,8,38,33
2024,9,September,8,9,50,46
2024,8,August,11,9,111,104
2024,7,July,6,6,63,50
2024,6,June,10,6,89,60
2024,5,May,12,30,86,106
2024,4,April,37,29,39,47
2024,3,March,10,20,108,106
2024,2,February,19,18,121,157
2024,1,January,24,42,76,101
2023,12,December,31,19,74,108
2023,11,November,8,8,67,31
2023,10,October,0,0,24,34
2023,9,September,29,8,35,18
2023,8,August,27,46,94,75
2023,7,July,14,16,54,50
2023,6,June,10,17,75,57
2023,5,May,15,21,72,69
2023,4,April,25,11,113,122
2023,3,March,3,11,97,75
2023,2,February,10,14,47,60
2023,1,January,18,17,72,124
2022,12,December,22,20,74,66
2022,11,November,10,2,50,65
2022,10,October,4,0,34,36
2022,9,September,15,14,36,37
2022,8,August,9,14,51,33
2022,7,July,15,24,64,69
2022,6,June,13,14,60,25
2022,5,May,0,5,57,60
2022,4,April,11,6,55,81
2022,3,March,29,23,69,65
2022,2,February,29,7,32,45
2022,1,January,25,34,40,40
2021,12,December,97,53,41,41
2021,11,November,3,9,39,55
2021,10,October,7,2,21,27
2021,9,September,3,1,8,16
2021,8,August,2,2,9,14
2021,7,July,2,24,59,20
2021,6,June,13,8,9,19
2021,5,May,4,1,16,21
2021,4,April,9,11,35,30
2021,3,March,8,4,78,91
2021,2,February,15,5,17,40
2021,1,January,8,4,15,23
2020,12,December,15,22,40,65
2020,11,November,2,3,51,60
2020,10,October,0,1,25,29
2020,9,September,1,6,35,90
2020,8,August,8,6,22,49
2020,7,July,12,9,65,69
2020,6,June,6,13,41,8
2020,5,May,4,0,10,12
2020,4,April,0,1,4,0
2020,3,March,19,10,74,60
2020,2,February,37,17,44,77
2020,1,January,14,24,107,86
2019,12,December,21,10,91,103
2019,11,November,4,14,49,29
2019,10,October,14,13,34,37
2019,9,September,2,3,27,32
2019,8,August,2,4,84,27
2019,7,July,11,8,49,66
2019,6,June,17,14,38,40
2019,5,May,23,21,65,48
2019,4,April,36,43,67,64
2019,3,March,56,64,52,51
2019,2,February,18,21,51,57
2019,1,January,13,28,47,76
