Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,303,299,550,886
2025,7,July,260,285,875,878
2025,6,June,253,286,958,858
2025,5,May,241,307,736,563
2025,4,April,303,233,740,861
2025,3,March,246,242,795,845
2025,2,February,213,208,725,726
2025,1,January,449,293,654,966
2024,12,December,222,398,908,518
2024,11,November,239,258,510,407
2024,10,October,200,155,289,248
2024,9,September,238,210,273,289
2024,8,August,280,258,418,679
2024,7,July,270,248,572,585
2024,6,June,252,292,764,642
2024,5,May,276,372,729,655
2024,4,April,305,210,548,762
2024,3,March,262,267,793,740
2024,2,February,180,154,501,550
2024,1,January,411,255,549,961
2023,12,December,252,449,934,505
2023,11,November,227,180,399,485
2023,10,October,246,236,381,405
2023,9,September,246,265,327,381
2023,8,August,387,312,444,670
2023,7,July,345,349,623,653
2023,6,June,286,300,706,542
2023,5,May,235,333,763,681
2023,4,April,440,336,689,793
2023,3,March,129,188,581,587
2023,2,February,82,111,465,495
2023,1,January,59,104,386,512
2022,12,December,73,101,368,262
2022,11,November,51,58,348,290
2022,10,October,52,75,248,273
2022,9,September,105,160,131,138
2022,8,August,230,198,415,526
2022,7,July,262,191,549,497
2022,6,June,186,154,695,601
2022,5,May,216,193,646,620
2022,4,April,301,182,780,815
2022,3,March,150,144,844,752
2022,2,February,167,166,772,749
2022,1,January,238,177,733,899
2021,12,December,238,238,975,610
2021,11,November,148,113,484,455
2021,10,October,124,95,331,234
2021,9,September,69,94,136,89
2021,8,August,133,89,209,254
2021,7,July,177,110,584,420
2021,6,June,111,70,1168,344
2021,5,May,62,56,562,267
2021,4,April,91,90,747,357
2021,3,March,78,151,773,433
2021,2,February,103,159,356,235
2021,1,January,106,131,371,282
2020,12,December,65,110,407,110
2020,11,November,49,24,44,32
2020,10,October,31,35,33,28
2020,9,September,11,13,19,29
2020,8,August,21,23,35,43
2020,7,July,13,13,66,71
2020,6,June,13,16,43,32
2020,5,May,4,1,3,10
2020,4,April,0,0,4,0
2020,3,March,228,263,444,797
2020,2,February,347,321,939,754
2020,1,January,396,371,729,1317
2019,12,December,448,492,1304,772
2019,11,November,407,298,676,802
2019,10,October,323,312,708,635
2019,9,September,340,279,512,681
2019,8,August,448,476,950,1312
2019,7,July,555,459,1095,1127
2019,6,June,378,471,943,751
2019,5,May,480,497,864,833
2019,4,April,453,409,842,899
2019,3,March,349,340,886,1046
2019,2,February,339,323,830,771
2019,1,January,463,347,732,1280
