Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,19,14,16,12
2025,7,July,0,1,41,27
2025,6,June,4,3,21,36
2025,5,May,0,0,1,17
2025,4,April,3,33,107,7
2025,3,March,16,0,3,17
2025,2,February,6,0,1,4
2025,1,January,6,13,1,2
2024,12,December,7,29,53,3
2024,11,November,5,16,12,6
2024,10,October,6,2,24,22
2024,9,September,0,1,21,27
2024,8,August,33,22,29,25
2024,7,July,1,9,46,34
2024,6,June,12,10,38,43
2024,5,May,10,15,19,8
2024,4,April,13,16,12,9
2024,3,March,17,7,0,13
2024,2,February,17,46,68,16
2024,1,January,15,28,44,4
2023,12,December,12,0,2,1
2023,11,November,2,7,20,1
2023,10,October,29,21,3,6
2023,9,September,22,15,15,11
2023,8,August,21,10,29,37
2023,7,July,24,64,44,25
2023,6,June,1,9,30,15
2023,5,May,19,15,6,9
2023,4,April,14,11,9,7
2023,3,March,9,18,8,2
2023,2,February,14,52,37,12
2023,1,January,8,3,7,2
2022,12,December,10,10,12,15
2022,11,November,13,15,19,3
2022,10,October,33,26,16,16
2022,9,September,4,13,12,14
2022,8,August,33,11,15,22
2022,7,July,3,5,8,17
2022,6,June,9,2,19,17
2022,5,May,15,3,0,3
2022,4,April,7,6,11,18
2022,3,March,10,14,14,12
2022,2,February,4,6,0,0
2022,1,January,3,0,0,0
2021,12,December,4,6,6,2
2021,11,November,21,2,0,39
2021,10,October,1,11,6,3
2021,9,September,5,4,4,10
2021,8,August,28,14,1,7
2021,7,July,3,6,2,13
2021,5,May,12,4,1,1
2021,4,April,11,5,16,7
2021,3,March,3,1,0,4
2021,1,January,11,12,2,0
2020,12,December,5,6,0,0
2020,11,November,4,10,2,7
2020,10,October,11,9,0,13
2020,9,September,3,6,10,0
2020,8,August,1,4,0,1
2020,7,July,0,3,1,0
2020,6,June,3,2,9,6
2020,5,May,1,2,11,4
2020,4,April,0,0,1,0
2020,3,March,14,3,142,12
2020,2,February,24,16,9,26
2020,1,January,7,128,24,19
2019,12,December,2,3,19,13
2019,11,November,31,39,28,15
2019,10,October,14,36,32,26
2019,9,September,2,15,14,29
2019,8,August,13,16,19,36
2019,7,July,16,35,23,42
2019,6,June,8,7,15,9
2019,5,May,12,36,26,12
2019,4,April,8,9,26,36
2019,3,March,14,12,166,5
2019,2,February,22,8,3,0
2019,1,January,6,41,14,8
