Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,2,February,0,0,4,0
2025,1,January,0,13,1,0
2024,12,December,0,0,17,0
2024,7,July,0,1,3,0
2023,7,July,0,0,1,0
2023,2,February,0,0,2,0
2023,1,January,0,5,0,0
2022,12,December,0,0,14,0
2022,10,October,0,2,2,0
2022,9,September,0,0,4,0
2022,4,April,0,0,3,0
2021,3,March,0,0,2,0
2021,2,February,0,0,2,0
2020,9,September,0,0,6,0
2020,6,June,0,4,0,0
2020,3,March,0,0,5,0
2020,2,February,0,5,1,0
2019,12,December,0,0,14,0
2019,8,August,0,7,0,0
2019,2,February,0,0,6,0
2019,1,January,0,11,5,0
