Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,2,February,0,0,6,0
2025,1,January,0,0,4,0
2024,11,November,0,0,16,0
2024,10,October,0,0,6,0
2024,8,August,0,5,17,0
2024,6,June,0,0,2,0
2024,5,May,0,1,5,0
2024,2,February,0,0,8,0
2024,1,January,0,0,7,0
2023,11,November,0,0,8,0
2023,9,September,0,0,5,0
2023,8,August,0,0,9,0
2023,1,January,0,0,5,0
2022,12,December,0,0,20,0
2022,11,November,0,0,9,0
2022,10,October,0,0,6,0
2022,7,July,0,0,2,0
