Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,23,24,16,22
2025,7,July,30,16,45,38
2025,6,June,14,15,32,40
2025,5,May,17,15,19,14
2025,4,April,12,7,4,4
2025,3,March,36,37,7,2
2025,2,February,4,1,2,3
2025,1,January,22,44,5,1
2024,12,December,6,8,7,4
2024,11,November,18,22,8,3
2024,10,October,31,41,24,17
2024,9,September,41,36,8,23
2024,8,August,28,32,28,23
2024,7,July,62,51,13,20
2024,6,June,14,17,1,10
2024,5,May,29,37,15,20
2024,4,April,16,28,14,13
2024,3,March,22,34,17,4
2024,2,February,49,31,10,39
2024,1,January,30,26,11,11
2023,12,December,26,42,10,5
2023,11,November,46,22,8,13
2023,10,October,81,42,6,9
2023,9,September,37,27,12,12
2023,8,August,39,38,10,25
2023,7,July,47,38,12,21
2023,6,June,42,19,19,51
2023,5,May,14,33,24,13
2023,4,April,21,29,2,1
2023,3,March,29,39,9,20
2023,2,February,62,28,10,23
2023,1,January,77,45,1,27
2022,12,December,23,12,13,5
2022,11,November,28,55,21,21
2022,10,October,31,27,4,16
2022,9,September,32,39,8,17
2022,8,August,37,27,0,5
2022,7,July,22,8,21,48
2022,6,June,9,13,15,4
2022,5,May,4,7,2,2
2022,4,April,13,12,13,22
2022,3,March,6,8,3,10
2022,2,February,5,7,27,36
2022,1,January,0,0,6,10
2021,12,December,11,2,206,202
2021,11,November,16,16,47,23
2021,10,October,8,7,6,8
2021,9,September,3,12,20,13
2021,8,August,0,0,3,0
2021,7,July,1,0,0,0
2021,6,June,0,1,11,15
2021,5,May,2,4,12,3
2021,4,April,2,5,0,1
2021,3,March,0,0,0,4
2021,2,February,0,0,12,0
2021,1,January,0,0,4,0
2020,12,December,5,12,0,1
2020,11,November,6,6,0,0
2020,10,October,8,13,0,0
2020,9,September,8,6,0,0
2020,7,July,6,4,0,2
2020,6,June,9,3,0,0
2020,5,May,2,3,0,0
2020,3,March,11,8,19,16
2020,2,February,8,8,7,17
2020,1,January,18,16,16,7
2019,12,December,11,10,13,14
2019,11,November,29,22,8,18
2019,10,October,8,13,12,23
2019,9,September,8,6,12,24
2019,8,August,20,15,10,31
2019,7,July,9,7,25,29
2019,6,June,18,18,88,175
2019,5,May,15,21,25,33
2019,4,April,22,9,44,40
2019,3,March,17,8,22,11
2019,2,February,1,5,22,0
2019,1,January,4,0,12,24
