Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,0,0
2025,6,June,3,2,0,0
2025,5,May,0,1,0,0
2024,11,November,0,0,12,0
2024,10,October,0,2,0,0
2024,9,September,0,4,0,0
2024,7,July,0,1,1,0
2024,5,May,0,3,0,0
2024,4,April,13,2,0,1
2024,2,February,0,0,3,0
2024,1,January,13,0,0,0
2023,12,December,0,7,0,0
2023,10,October,0,2,0,0
2023,8,August,2,2,0,0
2023,7,July,0,0,2,0
2023,6,June,3,11,0,0
2023,5,May,1,0,0,0
2023,3,March,2,0,2,0
2023,1,January,1,0,0,0
2022,12,December,3,10,3,0
2022,11,November,4,7,0,0
2022,9,September,4,0,0,0
2022,5,May,4,0,1,1
2022,4,April,2,0,0,0
2022,3,March,4,0,0,0
2022,2,February,19,15,0,0
2022,1,January,6,0,0,0
2021,12,December,26,18,0,0
2021,11,November,8,20,0,0
2021,10,October,3,7,0,0
2021,8,August,5,4,0,0
2021,6,June,0,8,0,0
2021,5,May,0,2,0,0
2021,4,April,10,0,0,0
2021,2,February,2,0,0,0
2021,1,January,8,12,0,0
2020,12,December,0,9,0,0
2020,10,October,0,3,0,0
2020,7,July,4,0,0,0
2020,6,June,6,0,0,0
2020,4,April,4,0,0,0
2020,3,March,9,0,0,0
2020,2,February,4,0,0,0
