Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,8,9,68,120
2025,7,July,1,1,80,132
2025,6,June,20,20,87,164
2025,5,May,4,27,114,164
2025,4,April,19,9,107,149
2025,3,March,9,4,119,213
2025,2,February,5,14,85,157
2025,1,January,15,5,85,212
2024,12,December,15,11,124,77
2024,11,November,1,6,122,175
2024,10,October,29,30,70,121
2024,9,September,3,4,73,107
2024,8,August,9,3,57,162
2024,7,July,4,7,113,109
2024,6,June,21,16,145,215
2024,5,May,24,15,134,187
2024,4,April,14,2,97,153
2024,3,March,12,30,109,208
2024,2,February,9,10,58,165
2024,1,January,13,14,85,312
2023,12,December,9,7,155,90
2023,11,November,7,12,99,201
2023,10,October,12,32,58,106
2023,9,September,21,21,103,193
2023,8,August,9,4,79,133
2023,7,July,17,1,98,95
2023,6,June,36,15,103,164
2023,5,May,16,8,99,148
2023,4,April,25,9,68,137
2023,3,March,23,2,68,209
2023,2,February,8,5,125,217
2023,1,January,24,20,63,317
2022,12,December,32,13,67,47
2022,11,November,35,61,63,109
2022,10,October,29,18,100,101
2022,9,September,10,6,49,71
2022,8,August,2,5,54,89
2022,7,July,20,3,27,64
2022,6,June,18,17,105,126
2022,5,May,19,5,102,153
2022,4,April,19,4,55,101
2022,3,March,4,8,32,59
2022,2,February,4,3,34,80
2022,1,January,16,11,31,210
2021,12,December,6,15,105,60
2021,11,November,8,10,68,87
2021,10,October,4,23,29,37
2021,9,September,16,12,34,53
2021,8,August,27,8,24,57
2021,7,July,10,7,54,94
2021,6,June,6,4,23,54
2021,5,May,12,3,9,40
2021,4,April,11,15,22,75
2021,3,March,13,2,30,44
2021,2,February,0,0,0,42
2021,1,January,0,1,15,87
2020,12,December,0,0,17,16
2020,11,November,10,1,17,37
2020,10,October,2,2,6,7
2020,9,September,1,0,9,19
2020,8,August,1,1,9,30
2020,7,July,4,7,18,19
2020,6,June,6,0,0,0
2020,5,May,0,0,0,2
2020,4,April,1,0,0,0
2020,3,March,23,5,41,87
2020,2,February,11,8,86,83
2020,1,January,19,13,40,158
2019,12,December,3,14,165,111
2019,11,November,6,4,69,57
2019,10,October,14,11,77,112
2019,9,September,15,12,64,92
2019,8,August,9,6,90,106
2019,7,July,13,15,85,97
2019,6,June,24,29,127,138
2019,5,May,19,12,94,114
2019,4,April,5,5,38,65
2019,3,March,34,15,123,130
2019,2,February,7,6,21,45
2019,1,January,6,5,42,140
