Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,6,0,0
2025,7,July,0,2,9,0
2025,6,June,0,7,0,0
2025,5,May,0,2,0,0
2024,12,December,0,0,8,0
2024,9,September,0,2,0,0
2024,8,August,0,26,1,0
2024,7,July,0,2,11,0
2024,6,June,0,2,2,0
2024,5,May,0,4,0,0
2024,4,April,0,0,4,0
2023,11,November,0,0,3,0
2023,9,September,0,0,1,0
2023,8,August,0,8,9,0
2023,6,June,0,1,7,0
2023,5,May,0,0,16,0
2022,8,August,0,0,2,0
2022,7,July,0,0,1,0
2022,6,June,0,0,6,0
