Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,7,0
2025,5,May,0,2,0,0
2025,2,February,0,1,0,0
2024,11,November,0,4,84,0
2024,8,August,0,1,9,0
2024,6,June,0,0,3,0
2024,1,January,0,0,10,0
2023,12,December,0,0,2,0
2023,11,November,0,0,9,0
2023,10,October,0,0,2,0
2023,3,March,0,0,4,0
2022,6,June,1,3,0,11
2021,11,November,0,2,76,0
2020,1,January,0,1,2,0
2019,12,December,0,0,9,0
2019,10,October,0,2,0,0
2019,9,September,0,0,5,0
2019,7,July,0,1,2,0
2019,5,May,0,0,3,9
2019,3,March,0,0,2,0
2019,1,January,0,2,5,0
