Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,7,0,0,8
2025,7,July,7,0,8,21
2025,6,June,3,1,0,10
2025,5,May,4,2,0,14
2025,4,April,1,0,0,2
2025,3,March,7,0,0,0
2025,2,February,3,1,0,1
2025,1,January,0,0,0,4
2024,12,December,5,2,6,2
2024,11,November,5,4,0,2
2024,10,October,12,2,1,9
2024,9,September,10,6,0,9
2024,8,August,17,3,0,10
2024,7,July,15,7,2,7
2024,6,June,6,3,9,12
2024,5,May,3,0,0,2
2024,4,April,1,0,0,0
2024,3,March,6,0,0,0
2024,2,February,3,0,0,7
2024,1,January,0,0,3,0
2023,12,December,0,0,0,9
2023,11,November,9,0,0,6
2023,10,October,16,0,0,14
2023,9,September,6,4,0,6
2023,8,August,5,0,2,11
2023,7,July,5,1,1,9
2023,6,June,0,0,0,5
2023,5,May,4,1,0,6
2023,4,April,4,1,0,3
2023,3,March,4,1,0,5
2023,2,February,8,0,0,3
2023,1,January,3,3,0,0
2022,12,December,3,0,0,2
2022,11,November,5,0,0,16
2022,10,October,20,5,11,23
2022,9,September,11,2,0,11
2022,8,August,11,2,2,11
2022,7,July,8,11,2,13
2022,6,June,7,2,2,19
2022,5,May,4,1,0,13
2022,4,April,6,0,0,8
2022,3,March,3,0,0,4
2022,2,February,2,1,0,2
2022,1,January,0,0,1,0
2021,12,December,18,0,0,0
2021,11,November,2,0,6,0
2021,10,October,1,0,0,4
2021,9,September,2,1,1,5
2021,8,August,2,4,0,4
2021,7,July,6,0,0,0
2020,11,November,4,0,5,0
2020,10,October,1,2,2,0
2020,8,August,0,2,0,0
2020,7,July,0,0,0,1
2020,6,June,0,0,2,2
2020,3,March,1,0,0,0
2020,2,February,3,1,0,2
2020,1,January,1,5,0,0
2019,12,December,10,1,0,3
2019,11,November,1,1,0,1
2019,10,October,14,1,7,18
2019,9,September,9,3,10,5
2019,8,August,21,9,6,33
2019,7,July,11,1,25,29
2019,6,June,8,1,2,13
2019,5,May,4,2,0,10
2019,4,April,13,4,0,13
2019,3,March,12,7,0,0
2019,2,February,9,3,12,4
2019,1,January,9,0,0,4
