Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,21,17
2025,7,July,1,1,18,20
2025,6,June,6,6,28,12
2025,5,May,6,6,12,16
2025,4,April,6,3,11,10
2025,3,March,1,3,12,6
2025,2,February,2,3,9,9
2025,1,January,0,0,2,4
2024,12,December,2,4,15,11
2024,11,November,2,2,12,17
2024,10,October,1,2,6,7
2024,9,September,6,5,3,6
2024,8,August,3,5,13,8
2024,7,July,4,5,6,10
2024,6,June,0,3,10,2
2024,5,May,3,2,29,26
2024,4,April,2,0,6,7
2024,3,March,1,4,22,16
2024,2,February,3,5,22,15
2024,1,January,0,3,8,2
2023,12,December,7,7,20,10
2023,11,November,2,3,28,28
2023,10,October,9,11,22,22
2023,9,September,2,3,11,15
2023,8,August,7,7,30,35
2023,7,July,10,7,46,44
2023,6,June,8,14,47,38
2023,5,May,15,18,41,28
2023,4,April,4,10,22,19
2023,3,March,16,16,36,25
2023,2,February,19,25,27,14
2023,1,January,12,5,40,45
2022,12,December,7,18,21,7
2022,11,November,3,8,14,17
2022,10,October,10,13,37,48
2022,9,September,5,12,32,16
2022,8,August,10,12,9,15
2022,7,July,4,11,22,20
2022,6,June,1,2,26,20
2022,5,May,6,10,29,15
2022,4,April,1,13,10,18
2022,3,March,10,7,53,34
2022,2,February,6,11,23,20
2022,1,January,4,6,14,10
2021,12,December,6,6,28,28
2021,11,November,19,11,21,23
2021,10,October,15,6,22,27
2021,9,September,7,17,27,36
2021,8,August,19,21,3,33
2021,7,July,13,10,41,30
2021,6,June,9,13,22,28
2021,5,May,2,8,7,12
2021,4,April,1,0,11,10
2021,3,March,21,6,23,17
2021,2,February,8,3,5,4
2021,1,January,12,4,1,16
2020,12,December,14,13,21,11
2020,11,November,7,5,3,7
2020,10,October,8,5,3,19
2020,9,September,10,4,9,7
2020,8,August,7,4,15,11
2020,7,July,14,7,3,5
2020,6,June,10,18,16,28
2020,5,May,0,0,1,0
2020,4,April,0,0,0,1
2020,3,March,5,2,10,6
2020,2,February,19,12,8,6
2020,1,January,12,9,4,9
2019,12,December,14,9,13,9
2019,11,November,8,10,17,5
2019,10,October,4,5,10,10
2019,9,September,8,15,14,6
2019,8,August,8,10,7,11
2019,7,July,2,1,5,2
2019,6,June,11,17,3,7
2019,5,May,11,13,16,6
2019,4,April,10,11,11,15
2019,3,March,1,1,3,2
2019,2,February,3,2,3,11
2019,1,January,9,10,6,33
