Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,6,June,0,0,5,0
2024,6,June,0,0,1,0
2024,5,May,0,0,5,5
2024,4,April,0,10,0,0
2024,3,March,0,0,1,0
2024,2,February,0,0,8,0
2024,1,January,0,0,1,0
2023,7,July,0,0,5,0
2023,6,June,0,2,0,0
2022,8,August,0,0,9,0
2022,4,April,0,0,5,0
2022,1,January,0,3,0,0
2021,12,December,0,3,3,0
2021,11,November,5,4,0,0
2021,9,September,0,0,5,0
2021,8,August,1,0,11,0
2021,6,June,0,0,2,0
2020,12,December,0,1,0,0
2019,12,December,0,0,2,0
2019,11,November,0,2,2,0
2019,9,September,0,0,2,0
2019,7,July,0,0,5,0
2019,5,May,0,0,1,0
2019,4,April,0,3,4,0
2019,2,February,0,0,3,0
2019,1,January,0,0,9,0
