county_fips,risk_rank,risk_score,predicted_time_months,predicted_outbreak_date,current_status
6037,1,0.9793925,11.0,2020-11-30 20:09:35.683593747,Had outbreak
48201,2,0.91432154,11.0,2020-11-30 20:09:35.683593747,Had outbreak
48165,3,0.89875376,4.0,2020-05-01 18:14:24.184570315,Had outbreak
17031,4,0.87860924,11.0,2020-11-30 20:09:35.683593747,Had outbreak
4013,5,0.874246,10.0,2020-10-31 09:35:59.472656252,No outbreak
39075,6,0.8310835,4.0,2020-05-01 18:14:24.184570315,Had outbreak
18087,7,0.78693604,5.0,2020-06-01 04:47:59.736328126,No outbreak
48111,8,0.7522807,4.0,2020-05-01 18:14:24.184570315,Had outbreak
6073,9,0.74524176,9.0,2020-09-30 23:02:23.261718747,Had outbreak
48113,10,0.74267924,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48501,11,0.71900314,4.0,2020-05-01 18:14:24.184570315,Had outbreak
12086,12,0.71879286,10.0,2020-10-31 09:35:59.472656252,Had outbreak
6059,13,0.7185956,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48029,14,0.71396005,9.0,2020-09-30 23:02:23.261718747,Had outbreak
48003,15,0.70260346,6.0,2020-07-01 15:21:35.947265621,Had outbreak
48317,16,0.7010897,4.0,2020-05-01 18:14:24.184570315,Had outbreak
6065,17,0.70049953,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48189,18,0.6971607,6.0,2020-07-01 15:21:35.947265621,Had outbreak
48445,19,0.6863759,6.0,2020-07-01 15:21:35.947265621,Had outbreak
38105,20,0.6814032,8.0,2020-08-31 12:28:48.369140621,Had outbreak
48439,21,0.6766287,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48065,22,0.676551,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48017,23,0.6697229,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48305,24,0.6690356,7.0,2020-08-01 01:55:12.158203126,Had outbreak
32003,25,0.6687527,10.0,2020-10-31 09:35:59.472656252,No outbreak
12011,26,0.66731346,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48135,27,0.6632532,7.0,2020-08-01 01:55:12.158203126,Had outbreak
20069,28,0.66142243,7.0,2020-08-01 01:55:12.158203126,Had outbreak
35015,29,0.6611868,8.0,2020-08-31 12:28:48.369140621,Had outbreak
48357,30,0.65637857,7.0,2020-08-01 01:55:12.158203126,No outbreak
53033,31,0.6548352,10.0,2020-10-31 09:35:59.472656252,Had outbreak
6071,32,0.6420267,10.0,2020-10-31 09:35:59.472656252,No outbreak
48115,33,0.63896364,8.0,2020-08-31 12:28:48.369140621,Had outbreak
46083,34,0.63159555,8.0,2020-08-31 12:28:48.369140621,Had outbreak
26163,35,0.62898123,10.0,2020-10-31 09:35:59.472656252,No outbreak
15003,36,0.6271611,7.0,2020-08-01 01:55:12.158203126,Had outbreak
38013,37,0.62682307,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48475,38,0.6264081,9.0,2020-09-30 23:02:23.261718747,No outbreak
35025,39,0.619838,9.0,2020-09-30 23:02:23.261718747,Had outbreak
48415,40,0.61970943,9.0,2020-09-30 23:02:23.261718747,Had outbreak
30013,41,0.6153146,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48279,42,0.61180365,10.0,2020-10-31 09:35:59.472656252,Had outbreak
12099,43,0.607135,11.0,2020-11-30 20:09:35.683593747,No outbreak
48369,44,0.60351664,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48157,45,0.6026986,10.0,2020-10-31 09:35:59.472656252,Had outbreak
38035,46,0.60186243,10.0,2020-10-31 09:35:59.472656252,Had outbreak
42101,47,0.5972758,10.0,2020-10-31 09:35:59.472656252,Had outbreak
30049,48,0.59696466,10.0,2020-10-31 09:35:59.472656252,Had outbreak
36103,49,0.5950148,10.0,2020-10-31 09:35:59.472656252,Had outbreak
48143,50,0.5941737,10.0,2020-10-31 09:35:59.472656252,Had outbreak
