county_fips,risk_rank,risk_score,predicted_time_months,predicted_outbreak_date,current_status
48165,1,7.2813034,9.744141,2020-10-23 14:40:45.117187495,Had outbreak
48111,2,6.2110243,10.967644,2020-11-29 20:31:18.222656252,Had outbreak
48445,3,6.0924263,11.112343,2020-12-04 06:14:01.113281252,Had outbreak
48317,4,5.9934793,11.234527,2020-12-07 23:29:45.937500000,Had outbreak
48501,5,5.717454,11.58252,2020-12-18 13:43:32.109375000,Had outbreak
48079,6,5.6810775,11.62918,2020-12-19 23:48:50.273437495,Had outbreak
48189,7,5.5123615,11.84805,2020-12-26 15:42:42.890625000,Had outbreak
48135,8,5.5109324,11.84992,2020-12-26 17:04:40.371093747,Had outbreak
35015,9,5.2055264,12.25671,2021-01-08 02:15:44.824218747,Had outbreak
48279,10,5.2007694,12.263155,2021-01-08 06:58:13.652343747,Had outbreak
48115,11,5.149369,12.333014,2021-01-10 10:00:22.851562504,Had outbreak
48003,12,5.0088096,12.526094,2021-01-16 07:03:48.515625000,Had outbreak
48143,13,4.847783,12.751003,2021-01-23 03:22:22.089843747,Had outbreak
48381,14,4.7874675,12.836285,2021-01-25 17:40:34.570312504,Had outbreak
48329,15,4.782607,12.843181,2021-01-25 22:42:49.921875000,Had outbreak
35025,16,4.76968,12.861542,2021-01-26 12:07:41.425781252,Had outbreak
48305,17,4.7633147,12.870594,2021-01-26 18:44:28.359375000,Had outbreak
48017,18,4.719179,12.933525,2021-01-28 16:42:57.832031252,Had outbreak
48277,19,4.5812597,13.132172,2021-02-03 17:50:22.558593747,Had outbreak
48065,20,4.5592604,13.164139,2021-02-04 17:11:36.972656252,Had outbreak
48157,21,4.488102,13.268072,2021-02-07 21:07:22.968750000,Had outbreak
30013,22,4.454771,13.317037,2021-02-09 08:53:40.312500000,Had outbreak
35009,23,4.4035497,13.392635,2021-02-11 16:07:24.726562504,Had outbreak
48453,24,4.3814116,13.425442,2021-02-12 16:05:26.074218747,Had outbreak
35005,25,4.361782,13.454598,2021-02-13 13:23:29.765625000,Had outbreak
48069,26,4.361477,13.455052,2021-02-13 13:43:24.199218747,No outbreak
18087,27,4.338559,13.489176,2021-02-14 14:39:07.558593747,No outbreak
48303,28,4.333985,13.495995,2021-02-14 19:38:02.519531252,Had outbreak
48043,29,4.3308144,13.500727,2021-02-14 23:05:27.832031252,Had outbreak
20069,30,4.3187504,13.518738,2021-02-15 12:14:56.484375000,Had outbreak
39075,31,4.297746,13.550157,2021-02-16 11:12:08.613281252,Had outbreak
38105,32,4.246891,13.626525,2021-02-18 18:59:38.027343747,Had outbreak
48033,33,4.1965857,13.702494,2021-02-21 02:29:38.027343747,Had outbreak
48389,34,4.1938157,13.70669,2021-02-21 05:33:35.332031252,Had outbreak
30111,35,4.1923313,13.708938,2021-02-21 07:12:06.855468747,Had outbreak
56027,36,4.1548157,13.765895,2021-02-23 00:48:44.121093747,Had outbreak
8031,37,4.139409,13.789353,2021-02-23 17:57:00.703125000,Had outbreak
30031,38,4.1245556,13.812009,2021-02-24 10:30:05.273437495,Had outbreak
48415,39,4.116452,13.824383,2021-02-24 19:32:27.656250000,Had outbreak
48219,40,4.0943108,13.8582535,2021-02-25 20:17:09.199218747,Had outbreak
35045,41,4.088861,13.866603,2021-02-26 02:23:07.792968747,Had outbreak
20081,42,4.081991,13.877133,2021-02-26 10:04:43.886718747,Had outbreak
13121,43,4.0547285,13.919008,2021-02-27 16:40:14.355468747,Had outbreak
38013,44,4.0421352,13.938395,2021-02-28 06:50:00.585937495,Had outbreak
48209,45,4.0256786,13.963767,2021-03-01 01:22:10.664062504,Had outbreak
6109,46,4.023155,13.967663,2021-03-01 04:12:56.953125000,Had outbreak
48475,47,3.985196,14.0263815,2021-03-02 23:06:49.570312504,No outbreak
48197,48,3.954204,14.074506,2021-03-04 10:16:17.343750000,Had outbreak
35013,49,3.9409642,14.095114,2021-03-05 01:19:35.097656252,Had outbreak
30049,50,3.9142072,14.136856,2021-03-06 07:49:17.519531252,Had outbreak
