county_fips,risk_rank,risk_score,predicted_time_months,predicted_outbreak_date,current_status
48501,699,0.94979036,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48445,516,0.9653141,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48111,660,0.95296544,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48115,633,0.95513386,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48135,468,0.9702126,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48329,1115,0.897931,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48165,448,0.9719069,2.0,2020-03-01 21:07:12.092285153,Had outbreak
21073,1135,0.8948062,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48317,971,0.91787827,2.0,2020-03-01 21:07:12.092285153,Had outbreak
48305,1275,0.8693338,2.0,2020-03-01 21:07:12.092285153,Had outbreak
39003,1382,0.8512241,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48079,836,0.93644917,3.0,2020-04-01 07:40:47.973632810,Had outbreak
35025,1035,0.9091806,3.0,2020-04-01 07:40:47.973632810,Had outbreak
35015,585,0.9590629,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48143,838,0.9359229,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48189,451,0.9714063,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48277,785,0.9415799,3.0,2020-04-01 07:40:47.973632810,Had outbreak
17031,1433,0.83959574,3.0,2020-04-01 07:40:47.973632810,Had outbreak
6037,1134,0.8951139,3.0,2020-04-01 07:40:47.973632810,Had outbreak
6109,1116,0.8974052,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48279,831,0.9368203,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48003,673,0.95196307,3.0,2020-04-01 07:40:47.973632810,Had outbreak
20097,858,0.9321359,3.0,2020-04-01 07:40:47.973632810,Had outbreak
48369,687,0.95090556,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48375,1105,0.900287,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48381,1152,0.89092124,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48389,964,0.9190325,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48303,1396,0.84812725,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48049,1299,0.86427724,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48039,1750,0.77272666,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48219,1497,0.82630837,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48033,651,0.9537937,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48017,54,0.9957982,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48357,1913,0.7230335,4.0,2020-05-01 18:14:24.184570315,No outbreak
48013,948,0.92148024,4.0,2020-05-01 18:14:24.184570315,Had outbreak
4013,1808,0.7562457,4.0,2020-05-01 18:14:24.184570315,No outbreak
42071,1623,0.8010661,4.0,2020-05-01 18:14:24.184570315,Had outbreak
8007,1263,0.8712136,4.0,2020-05-01 18:14:24.184570315,Had outbreak
39075,686,0.9510369,4.0,2020-05-01 18:14:24.184570315,Had outbreak
15003,636,0.9550575,4.0,2020-05-01 18:14:24.184570315,Had outbreak
18087,933,0.92362136,4.0,2020-05-01 18:14:24.184570315,No outbreak
20069,976,0.91672736,4.0,2020-05-01 18:14:24.184570315,Had outbreak
20081,1207,0.88040113,4.0,2020-05-01 18:14:24.184570315,Had outbreak
35005,738,0.9452437,4.0,2020-05-01 18:14:24.184570315,Had outbreak
26081,1566,0.8130679,4.0,2020-05-01 18:14:24.184570315,Had outbreak
29213,1274,0.8693941,4.0,2020-05-01 18:14:24.184570315,Had outbreak
48209,1422,0.8415853,5.0,2020-06-01 04:47:59.736328126,Had outbreak
48415,1713,0.7808053,5.0,2020-06-01 04:47:59.736328126,Had outbreak
17199,1734,0.77645475,5.0,2020-06-01 04:47:59.736328126,Had outbreak
48309,1642,0.7973071,5.0,2020-06-01 04:47:59.736328126,Had outbreak
26103,1529,0.82000494,5.0,2020-06-01 04:47:59.736328126,Had outbreak
29143,1524,0.82067335,5.0,2020-06-01 04:47:59.736328126,Had outbreak
46103,1531,0.81984764,5.0,2020-06-01 04:47:59.736328126,Had outbreak
35043,943,0.9222872,5.0,2020-06-01 04:47:59.736328126,Had outbreak
48197,323,0.9816232,5.0,2020-06-01 04:47:59.736328126,Had outbreak
40119,1895,0.73019767,5.0,2020-06-01 04:47:59.736328126,No outbreak
38035,1121,0.8969082,5.0,2020-06-01 04:47:59.736328126,Had outbreak
30041,278,0.9851347,5.0,2020-06-01 04:47:59.736328126,Had outbreak
31161,184,0.9897595,5.0,2020-06-01 04:47:59.736328126,Had outbreak
35009,578,0.95935106,5.0,2020-06-01 04:47:59.736328126,Had outbreak
48043,251,0.9866572,5.0,2020-06-01 04:47:59.736328126,Had outbreak
48203,904,0.9282155,5.0,2020-06-01 04:47:59.736328126,Had outbreak
38013,222,0.9879466,5.0,2020-06-01 04:47:59.736328126,Had outbreak
