Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,1,3,8
2025,7,July,0,0,0,1
2025,6,June,6,0,4,1
2025,5,May,4,3,3,0
2025,4,April,1,0,0,0
2025,3,March,0,1,0,5
2025,1,January,4,4,1,7
2024,12,December,0,0,0,4
2024,11,November,9,0,0,0
2024,10,October,0,0,0,1
2024,9,September,0,0,0,1
2024,8,August,0,1,3,0
2024,7,July,2,0,1,0
2024,6,June,1,0,0,0
2024,5,May,9,0,0,2
2024,4,April,1,0,0,0
2024,3,March,1,0,0,0
2024,2,February,11,0,0,2
2024,1,January,2,2,0,0
2023,12,December,3,0,0,7
2023,9,September,2,0,0,0
2023,8,August,0,0,0,2
2023,7,July,0,0,3,3
2023,6,June,2,4,8,4
2023,5,May,2,2,0,0
2023,4,April,2,1,0,0
2023,3,March,7,7,1,4
2023,1,January,1,0,0,0
2022,11,November,2,0,1,1
2022,10,October,2,0,0,0
2022,9,September,0,1,0,0
2022,8,August,0,0,2,0
2022,7,July,4,1,0,5
2022,6,June,4,1,2,4
2022,5,May,1,3,0,0
2022,4,April,3,1,0,0
2022,2,February,4,0,0,0
2021,12,December,1,0,0,0
2021,11,November,3,0,0,3
2021,10,October,6,0,0,0
2021,9,September,4,3,0,0
2021,8,August,2,1,0,0
2021,3,March,15,0,0,0
2020,10,October,1,0,0,0
2020,3,March,3,0,0,0
2020,2,February,3,1,15,18
2020,1,January,2,1,7,15
2019,12,December,0,0,7,15
2019,11,November,12,5,5,19
2019,10,October,20,6,18,35
2019,9,September,1,0,8,11
2019,8,August,3,1,10,10
2019,7,July,2,1,4,2
2019,6,June,2,1,14,19
2019,5,May,8,2,15,19
2019,4,April,1,0,7,10
2019,3,March,6,1,7,15
2019,2,February,2,0,9,12
2019,1,January,1,1,5,21
