Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,31,22,62,192
2025,7,July,24,61,424,625
2025,6,June,35,38,573,477
2025,5,May,24,6,256,271
2025,4,April,274,92,175,132
2025,3,March,6,66,220,69
2025,2,February,29,31,128,270
2025,1,January,29,43,286,85
2024,12,December,55,73,174,73
2024,11,November,24,37,41,123
2024,10,October,4,8,86,124
2024,9,September,135,137,114,104
2024,8,August,27,23,111,206
2024,7,July,20,12,294,425
2024,6,June,23,17,588,662
2024,5,May,20,50,307,190
2024,4,April,26,33,133,178
2024,3,March,31,37,90,109
2024,2,February,20,21,92,100
2024,1,January,55,9,52,110
2023,12,December,27,17,120,56
2023,11,November,22,11,123,336
2023,10,October,50,147,79,107
2023,9,September,0,15,131,106
2023,8,August,29,11,108,107
2023,7,July,26,36,608,749
2023,6,June,15,15,670,669
2023,5,May,42,36,378,270
2023,4,April,26,36,72,95
2023,3,March,84,18,131,229
2023,2,February,14,51,97,182
2023,1,January,6,8,60,215
2022,12,December,74,25,132,215
2022,11,November,23,19,26,97
2022,10,October,29,23,120,183
2022,9,September,26,23,81,117
2022,8,August,20,26,113,161
2022,7,July,16,17,676,840
2022,6,June,14,6,618,688
2022,5,May,30,40,318,151
2022,4,April,17,20,28,41
2022,3,March,12,24,178,118
2022,2,February,50,22,71,62
2022,1,January,8,10,51,54
2021,12,December,16,11,72,78
2021,11,November,20,31,117,54
2021,10,October,42,18,35,81
2021,9,September,6,10,39,33
2021,8,August,253,12,182,324
2021,7,July,25,19,563,681
2021,6,June,8,37,442,529
2021,5,May,11,1,108,168
2021,4,April,7,2,43,25
2021,3,March,0,0,24,35
2021,2,February,5,1,8,18
2021,1,January,10,2,147,110
2020,12,December,15,9,64,51
2020,10,October,0,8,12,12
2020,9,September,3,4,13,21
2020,8,August,6,2,8,47
2020,7,July,0,0,14,24
2020,6,June,0,0,3,0
2020,5,May,0,0,0,3
2020,4,April,0,0,4,0
2020,3,March,260,299,166,243
2020,2,February,538,318,181,288
2020,1,January,581,416,218,373
2019,12,December,610,418,283,473
2019,11,November,748,493,304,398
2019,10,October,844,868,476,557
2019,9,September,682,742,426,577
2019,8,August,717,752,582,858
2019,7,July,628,565,797,1611
2019,6,June,578,665,786,1312
2019,5,May,762,850,563,633
2019,4,April,786,851,419,438
2019,3,March,729,764,589,612
2019,2,February,664,648,302,371
2019,1,January,673,658,274,593
