Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,6,0
2025,6,June,0,0,6,0
2024,6,June,0,0,6,0
2024,2,February,0,0,4,0
2023,7,July,0,0,18,0
2023,3,March,0,0,2,0
2021,7,July,0,0,2,0
2021,4,April,0,0,4,0
2020,11,November,0,0,4,0
2019,12,December,0,2,8,0
2019,11,November,0,2,0,0
2019,10,October,0,0,15,0
2019,9,September,0,0,7,0
2019,7,July,0,0,3,0
2019,6,June,0,1,1,0
2019,5,May,0,1,2,0
2019,4,April,0,0,2,0
2019,3,March,0,0,8,0
2019,2,February,0,0,2,0
2019,1,January,0,0,1,0
