Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,6,June,0,0,10,11
2025,5,May,6,6,10,0
2025,3,March,0,0,2,5
2025,2,February,20,21,2,2
2024,11,November,0,0,4,0
2024,10,October,3,0,0,6
2024,7,July,0,0,15,15
2024,6,June,0,2,0,0
2024,5,May,0,0,0,3
2024,3,March,0,35,21,8
2024,2,February,2,0,0,1
2024,1,January,0,0,4,0
2023,12,December,0,0,0,2
2023,11,November,6,3,0,0
2023,9,September,0,4,1,7
2023,8,August,0,0,13,7
2023,7,July,0,0,0,4
2023,6,June,0,0,4,0
2023,5,May,0,0,3,6
2023,4,April,0,0,7,0
2023,3,March,0,0,7,0
2022,12,December,0,0,0,3
2022,11,November,0,0,8,0
2022,10,October,0,0,6,6
2022,9,September,1,1,0,2
2022,8,August,0,0,6,0
2022,7,July,2,2,28,9
2022,6,June,0,0,6,3
2022,4,April,1,0,7,0
2022,2,February,3,0,0,1
2022,1,January,1,0,0,13
2021,12,December,0,0,12,0
2021,11,November,2,4,4,0
2021,9,September,0,2,0,0
2021,8,August,0,0,2,0
2021,6,June,0,0,2,4
2021,5,May,0,0,2,0
2021,4,April,2,0,0,0
2021,3,March,0,0,0,6
2021,2,February,0,0,2,0
2020,12,December,0,0,60,43
2020,10,October,1,0,0,0
2020,8,August,7,0,0,11
2020,7,July,0,0,11,0
2020,5,May,0,0,4,1
2020,3,March,0,0,4,8
2020,2,February,0,29,19,5
2020,1,January,0,0,3,2
2019,11,November,0,37,11,8
2019,10,October,0,0,9,9
2019,9,September,0,0,0,2
2019,8,August,2,0,0,16
2019,7,July,0,0,0,5
2019,6,June,5,5,10,4
2019,5,May,0,0,0,1
2019,4,April,0,0,2,0
2019,3,March,0,0,499,11
2019,2,February,1,2,6,8
2019,1,January,0,1,8,2
