Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,59,72,63,20
2025,7,July,65,49,53,48
2025,6,June,65,69,95,57
2025,5,May,33,44,81,37
2025,4,April,53,61,69,49
2025,3,March,65,45,135,95
2025,2,February,54,78,77,50
2025,1,January,79,83,69,55
2024,12,December,70,67,85,33
2024,11,November,52,71,107,36
2024,10,October,61,54,54,61
2024,9,September,61,58,25,13
2024,8,August,65,73,74,51
2024,7,July,104,72,43,45
2024,6,June,76,69,39,86
2024,5,May,65,79,48,7
2024,4,April,66,59,54,34
2024,3,March,133,66,149,89
2024,2,February,91,66,94,52
2024,1,January,64,63,103,99
2023,12,December,90,68,96,33
2023,11,November,66,58,72,67
2023,10,October,60,91,35,71
2023,9,September,70,76,27,10
2023,8,August,74,66,47,39
2023,7,July,82,72,56,34
2023,6,June,69,64,42,26
2023,5,May,61,68,51,55
2023,4,April,83,71,38,34
2023,3,March,80,74,92,71
2023,2,February,91,73,72,54
2023,1,January,79,80,91,104
2022,12,December,105,82,98,110
2022,11,November,85,62,110,102
2022,10,October,71,60,41,43
2022,9,September,92,73,25,10
2022,8,August,61,60,33,30
2022,7,July,74,74,49,45
2022,6,June,76,91,86,46
2022,5,May,57,31,54,54
2022,4,April,111,87,65,24
2022,3,March,87,73,124,51
2022,2,February,80,76,71,62
2022,1,January,26,29,53,71
2021,12,December,1,8,91,49
2021,11,November,17,8,72,37
2021,10,October,20,8,61,104
2021,9,September,14,1,88,43
2021,8,August,15,1,29,41
2021,7,July,8,13,95,67
2021,6,June,23,6,45,51
2021,5,May,55,22,43,34
2021,4,April,98,115,115,86
2021,3,March,323,501,80,52
2021,2,February,232,323,51,24
2021,1,January,46,51,98,71
2020,12,December,44,14,69,40
2020,11,November,9,6,79,42
2020,10,October,14,5,90,66
2020,9,September,6,9,16,18
2020,8,August,9,10,39,43
2020,7,July,18,6,20,23
2020,6,June,4,0,12,6
2020,3,March,2,0,75,114
2020,2,February,6,5,65,67
2020,1,January,3,16,66,89
2019,12,December,19,9,78,20
2019,11,November,1,5,39,7
2019,10,October,2,8,35,15
2019,9,September,0,3,33,23
2019,8,August,8,9,35,18
2019,7,July,5,15,50,48
2019,6,June,37,5,38,19
2019,5,May,14,10,58,27
2019,4,April,19,13,14,25
2019,3,March,13,6,70,81
2019,2,February,22,16,56,40
2019,1,January,12,9,78,43
