Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,9,3,0
2025,7,July,0,4,1,0
2025,4,April,0,0,2,0
2024,10,October,0,6,2,0
2024,9,September,0,2,0,0
2024,8,August,0,1,3,0
2024,5,May,0,0,1,0
2023,9,September,0,12,0,0
2023,7,July,0,3,0,0
2022,12,December,0,8,12,0
2022,11,November,0,6,1,0
2022,9,September,0,3,0,0
2022,7,July,0,0,4,0
2022,6,June,0,10,0,0
2022,4,April,0,0,1,0
2022,3,March,0,0,8,0
2022,1,January,0,0,2,0
2021,11,November,0,0,4,0
2021,5,May,0,0,5,0
2021,2,February,0,0,1,0
2020,12,December,0,0,5,0
2020,11,November,0,0,4,0
2020,10,October,0,0,3,0
2019,10,October,0,0,3,0
2019,9,September,0,0,2,0
2019,8,August,0,1,3,0
2019,7,July,0,4,1,0
2019,5,May,0,6,2,0
