Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,5,12,6,13
2025,7,July,0,0,12,0
2025,6,June,0,0,5,0
2025,4,April,0,8,8,0
2025,3,March,6,0,37,24
2025,2,February,4,4,9,8
2025,1,January,0,0,0,9
2024,12,December,0,0,25,2
2024,11,November,0,0,2,6
2024,10,October,17,5,10,0
2024,9,September,0,0,0,3
2024,8,August,0,0,13,7
2024,6,June,0,0,6,4
2024,5,May,0,0,7,2
2024,4,April,2,2,23,31
2024,3,March,0,1,23,2
2024,2,February,0,0,7,0
2024,1,January,1,1,11,12
2023,11,November,0,0,13,12
2023,10,October,0,0,5,4
2023,9,September,0,0,3,0
2023,8,August,0,0,1,1
2023,7,July,0,0,5,0
2023,6,June,0,0,2,0
2023,5,May,0,0,10,13
2023,4,April,0,0,4,3
2023,3,March,0,0,31,20
2023,2,February,0,0,12,6
2023,1,January,0,0,13,23
2022,12,December,0,0,17,0
2022,10,October,0,0,0,7
2022,9,September,0,1,0,4
2022,8,August,0,0,9,8
2022,7,July,0,0,1,0
2022,5,May,0,0,0,3
2022,4,April,0,4,2,0
2022,3,March,0,0,28,18
2022,2,February,0,0,5,0
2022,1,January,0,0,1,3
2021,11,November,1,0,0,6
2021,4,April,0,0,4,4
2021,3,March,0,0,0,3
2020,8,August,0,0,6,0
2020,6,June,0,0,0,3
2019,8,August,0,0,5,5
2019,6,June,0,0,4,0
2019,5,May,0,0,1,0
2019,4,April,0,0,4,0
2019,3,March,3,0,6,1
2019,2,February,0,1,0,0
2019,1,January,0,0,3,0
