Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,25,4,0
2025,7,July,0,16,2,0
2025,6,June,0,31,37,0
2025,5,May,0,17,19,0
2025,4,April,0,53,8,0
2025,3,March,0,0,20,0
2025,2,February,0,28,10,0
2025,1,January,0,2,1,0
2024,12,December,0,4,10,0
2024,11,November,0,15,17,0
2024,10,October,0,30,6,0
2024,9,September,0,3,5,0
2024,8,August,0,31,7,0
2024,7,July,0,4,7,0
2024,6,June,0,16,5,0
2024,5,May,0,23,21,0
2024,4,April,0,33,14,2
2024,3,March,0,11,22,0
2024,2,February,0,1,17,0
2024,1,January,0,8,10,0
2023,12,December,0,14,27,0
2023,11,November,0,17,2,0
2023,10,October,0,31,9,0
2023,9,September,0,10,19,0
2023,8,August,0,27,23,0
2023,7,July,0,21,60,0
2023,6,June,0,23,36,0
2023,5,May,0,24,93,0
2023,4,April,0,60,18,0
2023,3,March,0,8,34,0
2023,2,February,0,26,17,0
2023,1,January,0,13,33,0
2022,12,December,0,2,10,0
2022,11,November,0,17,36,0
2022,10,October,0,19,38,0
2022,9,September,0,31,17,0
2022,8,August,0,73,14,0
2022,7,July,0,42,22,0
2022,6,June,0,39,24,0
2022,5,May,0,27,19,0
2022,4,April,0,74,26,0
2022,3,March,0,27,43,0
2022,2,February,0,26,37,0
2022,1,January,0,0,21,0
2021,12,December,0,7,21,0
2021,11,November,0,32,39,0
2021,10,October,0,24,23,0
2021,9,September,0,31,22,0
2021,8,August,0,42,28,0
2021,7,July,0,1,18,0
2021,6,June,0,8,11,0
2021,5,May,0,6,10,0
2021,4,April,0,1,15,0
2021,3,March,0,0,1,0
2021,2,February,0,0,28,0
2021,1,January,0,0,4,0
2020,12,December,0,0,9,0
2020,11,November,0,3,4,0
2020,10,October,0,1,11,0
2020,9,September,0,0,1,0
2020,8,August,0,0,3,0
2020,6,June,0,0,1,0
2020,3,March,0,4,0,0
2020,2,February,0,31,19,0
2020,1,January,0,8,18,0
2019,12,December,0,6,5,0
2019,11,November,0,27,2,0
2019,10,October,0,18,7,0
2019,9,September,0,6,1,0
2019,8,August,113,162,18,0
2019,7,July,0,2,45,0
2019,6,June,18,26,14,25
2019,5,May,0,21,16,0
2019,4,April,0,20,17,0
2019,3,March,0,12,0,0
2019,2,February,0,25,20,0
2019,1,January,0,6,5,0
