Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,0,2
2025,6,June,6,0,0,3
2025,4,April,1,0,0,1
2025,3,March,3,0,0,2
2025,1,January,1,0,0,0
2024,11,November,7,8,0,0
2024,9,September,7,0,0,3
2024,8,August,24,0,0,1
2024,7,July,0,8,0,0
2024,6,June,15,0,0,1
2024,5,May,4,9,0,0
2024,4,April,12,0,0,0
2023,12,December,4,0,0,0
2023,11,November,3,5,0,0
2023,10,October,6,0,0,0
2023,8,August,8,2,0,0
2023,6,June,0,2,6,0
2023,5,May,21,12,0,0
2023,4,April,0,0,0,5
2023,3,March,5,5,0,0
2022,12,December,0,4,3,0
2022,11,November,4,0,0,0
2022,9,September,3,3,1,1
2022,7,July,2,7,1,0
2022,2,February,8,2,1,1
2021,11,November,23,25,0,0
2021,10,October,1,2,1,5
2021,9,September,6,0,0,0
2020,12,December,5,0,0,0
2020,3,March,12,0,0,0
2020,2,February,7,6,0,0
2020,1,January,3,3,0,0
2019,12,December,2,0,0,0
2019,11,November,4,4,0,0
2019,10,October,2,0,0,1
2019,9,September,5,0,0,7
2019,8,August,13,0,0,6
2019,7,July,11,4,0,3
2019,6,June,8,0,0,0
2019,4,April,16,8,0,1
2019,3,March,3,0,0,2
2019,2,February,7,0,0,0
2019,1,January,13,6,0,7
