Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,4,0,0
2025,7,July,0,9,8,0
2025,6,June,0,10,8,0
2025,5,May,0,34,2,0
2025,4,April,0,4,0,0
2025,3,March,0,0,8,0
2025,2,February,0,0,4,0
2025,1,January,0,7,8,0
2024,12,December,0,7,0,0
2024,11,November,0,0,12,0
2024,10,October,0,17,1,0
2024,9,September,0,16,0,0
2024,8,August,0,0,4,0
2024,7,July,0,15,1,0
2024,6,June,0,23,3,0
2024,5,May,0,6,1,0
2024,4,April,0,3,4,0
2024,3,March,0,7,7,0
2024,2,February,0,2,0,0
2024,1,January,0,0,7,0
2023,12,December,0,0,5,0
2023,11,November,0,14,6,0
2023,9,September,0,20,0,0
2023,8,August,0,5,0,0
2023,6,June,0,0,4,0
2023,5,May,0,8,3,0
2023,4,April,0,8,0,0
2023,3,March,0,2,0,0
2023,1,January,0,0,6,0
2022,12,December,0,2,10,0
2022,11,November,0,0,2,0
2022,10,October,0,12,2,0
2022,9,September,0,8,12,0
2022,8,August,0,4,4,0
2022,6,June,0,6,2,0
2022,5,May,0,2,0,0
2022,3,March,0,3,2,0
2022,2,February,0,0,8,0
2022,1,January,0,1,9,1
2021,12,December,0,3,0,0
2021,11,November,0,4,0,0
2021,10,October,0,18,0,0
2021,9,September,0,9,3,0
2021,7,July,0,0,12,0
2021,5,May,0,0,6,0
2021,3,March,0,0,4,0
2021,2,February,0,0,6,0
2021,1,January,0,0,6,0
2020,12,December,0,0,16,0
2020,3,March,0,0,7,0
2020,2,February,0,4,2,0
2020,1,January,0,9,0,0
2019,12,December,0,3,0,0
2019,11,November,0,5,6,0
2019,10,October,0,2,17,0
2019,9,September,0,14,0,0
2019,8,August,0,17,4,0
2019,7,July,0,2,2,0
2019,6,June,0,2,0,0
2019,5,May,0,4,9,0
2019,4,April,0,2,6,0
2019,3,March,0,11,5,0
2019,2,February,0,6,2,0
2019,1,January,0,0,8,0
