Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,16552,16211,14171,16136
2025,7,July,15968,14678,21199,25617
2025,6,June,16484,17555,23204,24129
2025,5,May,22908,22016,18971,15444
2025,4,April,16207,14673,9398,9735
2025,3,March,10154,9279,12186,11143
2025,2,February,7310,6461,5573,5391
2025,1,January,5591,5864,5003,6455
2024,12,December,6093,6264,8319,7218
2024,11,November,11241,11485,6221,6325
2024,10,October,20538,19856,8134,9565
2024,9,September,18899,18138,8262,8941
2024,8,August,16715,15469,9092,10381
2024,7,July,14919,15158,15502,19082
2024,6,June,16311,16983,18795,17462
2024,5,May,20826,20649,11698,9069
2024,4,April,13022,11686,6631,6648
2024,3,March,8132,7586,10253,8787
2024,2,February,5289,4953,3981,4057
2024,1,January,4598,4825,4025,4647
2023,12,December,4567,4642,6535,5745
2023,11,November,7182,7249,4092,4224
2023,10,October,14006,14645,5898,6960
2023,9,September,13315,12507,6300,6028
2023,8,August,11173,11056,7119,8720
2023,7,July,11062,11179,12792,15902
2023,6,June,14409,14526,15322,14167
2023,5,May,14084,14406,8570,6540
2023,4,April,11135,10394,5963,5825
2023,3,March,6416,5394,7565,7197
2023,2,February,5216,4643,2965,3090
2023,1,January,5780,5723,3754,4700
2022,12,December,4976,5033,5398,4388
2022,11,November,9079,8825,4340,4667
2022,10,October,13229,13404,4564,5846
2022,9,September,12698,11389,5974,5482
2022,8,August,10482,10348,5532,7234
2022,7,July,10181,9607,8769,10839
2022,6,June,10683,10489,10178,8731
2022,5,May,9608,9373,4729,3399
2022,4,April,5224,4882,2716,2704
2022,3,March,3034,2614,3021,2681
2022,2,February,875,909,1818,1830
2022,1,January,782,1010,1888,2632
2021,12,December,2079,2061,3651,2655
2021,11,November,1819,1865,2134,2127
2021,10,October,2591,2495,2532,2524
2021,9,September,1843,1638,2091,1980
2021,8,August,591,600,2209,2532
2021,7,July,196,131,3208,3597
2021,6,June,117,106,3292,2985
2021,5,May,79,95,2296,2036
2021,4,April,78,43,1042,1221
2021,3,March,58,45,1182,1300
2021,2,February,18,11,557,693
2021,1,January,18,22,648,1028
2020,12,December,20,15,759,601
2020,11,November,17,27,505,565
2020,10,October,10,22,98,109
2020,9,September,16,10,52,55
2020,8,August,5,9,29,39
2020,7,July,0,7,86,106
2020,6,June,4,1,45,65
2020,5,May,0,2,10,39
2020,4,April,0,4,1,23
2020,3,March,2588,3505,2596,3306
2020,2,February,6260,5871,3765,3665
2020,1,January,5472,5331,3222,4098
2019,12,December,5185,5260,5039,4333
2019,11,November,7532,7703,2714,3007
2019,10,October,10513,10377,3568,4356
2019,9,September,10903,10625,4198,4680
2019,8,August,8855,9041,5471,6414
2019,7,July,8326,7976,7565,9639
2019,6,June,8709,9175,8742,8760
2019,5,May,10675,10533,7297,6469
2019,4,April,8795,8881,4068,4499
2019,3,March,7480,6967,5795,5820
2019,2,February,5607,5186,3276,3279
2019,1,January,4954,4985,3011,4132
