Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,17,17,9
2025,7,July,0,9,29,25
2025,6,June,0,11,14,1
2025,5,May,0,1,10,17
2025,4,April,0,1,2,0
2025,3,March,0,0,4,0
2025,2,February,0,0,4,4
2025,1,January,0,3,1,1
2024,12,December,1,4,11,2
2024,11,November,14,12,0,4
2024,10,October,2,0,4,8
2024,9,September,5,14,5,2
2024,8,August,7,8,13,28
2024,7,July,0,11,16,9
2024,6,June,9,6,15,12
2024,5,May,5,14,7,22
2024,4,April,9,4,3,2
2024,3,March,0,0,21,23
2024,2,February,0,0,2,2
2024,1,January,11,25,2,3
2023,12,December,0,1,4,2
2023,11,November,0,6,6,0
2023,10,October,1,8,16,0
2023,9,September,0,15,19,3
2023,8,August,6,9,38,23
2023,7,July,0,3,13,0
2023,6,June,4,2,35,18
2023,5,May,5,5,3,0
2023,4,April,0,4,0,2
2023,3,March,6,11,26,20
2023,2,February,8,14,5,6
2023,1,January,8,12,8,8
2022,12,December,6,10,25,15
2022,11,November,18,11,8,11
2022,10,October,12,22,19,1
2022,9,September,0,3,13,0
2022,8,August,12,24,15,4
2022,7,July,12,26,35,12
2022,6,June,12,13,21,11
2022,5,May,26,14,10,16
2022,4,April,2,2,0,0
2022,3,March,0,8,6,8
2022,2,February,4,2,0,0
2022,1,January,0,0,0,5
2021,12,December,4,13,16,8
2021,11,November,25,8,2,0
2021,10,October,28,21,3,0
2021,9,September,18,14,12,0
2021,8,August,15,7,15,8
2021,7,July,13,9,13,2
2021,6,June,4,0,16,2
2021,5,May,3,0,0,0
2021,4,April,0,0,0,3
2021,2,February,0,1,0,0
2021,1,January,1,6,0,0
2020,12,December,7,0,0,0
2020,8,August,0,0,16,0
2020,6,June,1,4,0,0
2020,3,March,3,1,7,5
2020,2,February,0,1,5,4
2020,1,January,16,9,2,12
2019,12,December,5,5,1,1
2019,11,November,4,2,4,6
2019,10,October,1,12,11,10
2019,9,September,11,2,8,3
2019,8,August,7,12,30,36
2019,7,July,10,9,8,5
2019,6,June,10,8,14,15
2019,5,May,0,0,2,2
2019,4,April,4,0,2,1
2019,3,March,3,0,14,15
2019,2,February,1,1,8,5
2019,1,January,0,3,8,7
