Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,3,4,4
2025,7,July,3,1,5,35
2025,6,June,4,0,6,36
2025,5,May,0,2,1,5
2025,4,April,1,0,0,5
2025,3,March,5,10,0,3
2025,2,February,2,3,4,7
2025,1,January,13,6,5,5
2024,11,November,3,6,2,1
2024,10,October,7,12,0,0
2024,9,September,2,1,8,24
2024,8,August,1,0,3,14
2024,7,July,6,13,22,7
2024,6,June,6,6,5,10
2024,5,May,3,7,6,23
2024,3,March,8,4,0,1
2024,2,February,0,0,3,0
2024,1,January,2,2,0,0
2023,11,November,13,8,2,14
2023,10,October,5,6,4,28
2023,8,August,6,0,20,15
2023,7,July,8,1,12,18
2023,6,June,0,0,19,32
2023,5,May,4,0,7,4
2023,4,April,10,7,1,2
2023,3,March,8,0,3,0
2023,2,February,0,0,5,2
2023,1,January,0,3,0,0
2022,12,December,0,0,1,1
2022,11,November,0,0,13,21
2022,10,October,7,14,19,14
2022,9,September,0,3,0,5
2022,8,August,10,5,4,13
2022,7,July,3,1,0,11
2022,6,June,2,3,4,9
2022,4,April,5,0,7,10
2022,3,March,1,0,5,0
2022,2,February,0,0,5,15
2022,1,January,0,0,5,9
2021,12,December,0,0,3,4
2021,11,November,2,1,4,3
2021,10,October,2,2,13,18
2021,9,September,9,4,3,17
2021,8,August,21,4,6,0
2021,7,July,5,0,3,5
2021,6,June,3,0,0,0
2021,5,May,3,0,0,4
2021,4,April,4,0,0,0
2021,3,March,2,0,0,1
2021,2,February,6,2,0,4
2021,1,January,1,0,0,4
2020,12,December,2,0,2,1
2020,10,October,0,0,9,0
2020,8,August,1,0,0,0
2020,6,June,0,0,2,0
2020,2,February,5,4,0,4
2019,12,December,0,0,0,8
2019,11,November,0,3,0,0
2019,10,October,2,5,13,30
2019,9,September,1,2,0,7
2019,8,August,8,0,8,2
2019,7,July,3,0,5,17
2019,6,June,2,1,12,20
2019,5,May,3,3,21,0
2019,4,April,2,0,4,1
2019,3,March,8,5,1,3
2019,2,February,0,0,0,3
2019,1,January,5,5,2,11
