Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2024,12,December,0,3,17,0
2024,11,November,0,0,9,0
2024,10,October,0,1,0,0
2024,9,September,0,0,15,0
2024,3,March,0,0,7,0
2024,1,January,0,0,0,104
2023,10,October,0,0,1,0
2023,3,March,0,0,19,0
2022,12,December,0,0,21,0
2022,10,October,0,0,8,0
2022,9,September,0,2,0,0
2022,8,August,0,4,2,0
2022,7,July,0,1,0,0
2022,4,April,0,0,13,0
2022,3,March,0,0,11,0
2022,2,February,0,8,12,0
2022,1,January,0,0,13,0
2021,12,December,0,0,17,0
2021,10,October,0,0,1,0
2021,6,June,0,1,16,0
2021,2,February,0,0,8,0
2020,12,December,0,0,12,0
2020,11,November,0,1,0,0
2020,10,October,0,0,13,0
2020,3,March,0,1,1,0
2020,2,February,0,2,0,0
2020,1,January,0,2,0,0
2019,12,December,0,0,17,0
2019,6,June,0,1,8,0
2019,3,March,0,1,5,0
2019,1,January,0,0,4,0
