Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,8,0
2025,6,June,0,0,16,0
2025,4,April,0,8,0,0
2025,1,January,0,2,1,0
2024,7,July,0,0,4,0
2024,4,April,0,0,4,0
2024,2,February,0,0,6,0
2024,1,January,0,6,0,0
2023,12,December,0,0,4,0
2023,10,October,0,0,8,0
2023,6,June,0,0,7,0
2023,4,April,0,2,0,0
2023,3,March,0,0,1,0
2023,2,February,0,0,7,0
2022,12,December,0,0,1,0
2022,6,June,0,0,4,0
2022,2,February,0,0,11,0
2021,12,December,0,5,2,0
2021,4,April,0,8,2,0
2021,3,March,0,8,0,0
2020,6,June,0,2,0,0
2020,4,April,0,3,0,0
2020,3,March,0,1,0,0
2020,1,January,0,2,1,0
2019,10,October,0,0,7,0
2019,5,May,0,0,2,0
2019,4,April,0,0,10,0
2019,3,March,0,0,4,0
2019,2,February,0,5,0,0
2019,1,January,0,0,10,0
