Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,0,18,10
2025,7,July,6,7,0,1
2025,6,June,1,0,6,9
2025,5,May,0,0,0,3
2025,4,April,1,1,3,11
2025,3,March,0,0,33,24
2025,2,February,3,1,23,60
2025,1,January,0,0,12,0
2024,12,December,2,0,17,4
2024,11,November,1,1,14,11
2024,10,October,0,0,6,22
2024,9,September,0,0,5,12
2024,8,August,2,1,19,35
2024,7,July,6,7,5,13
2024,6,June,1,0,6,21
2024,5,May,18,9,1,6
2024,4,April,3,1,8,29
2024,3,March,6,5,26,56
2024,2,February,4,2,37,52
2024,1,January,2,2,22,20
2023,12,December,2,2,0,15
2023,11,November,6,8,0,12
2023,10,October,2,0,10,33
2023,9,September,0,0,11,20
2023,8,August,14,5,31,34
2023,7,July,8,6,0,4
2023,6,June,5,5,7,11
2023,5,May,0,9,7,9
2023,4,April,0,0,1,15
2023,3,March,18,15,4,5
2023,2,February,2,1,16,29
2023,1,January,0,0,12,10
2022,12,December,7,8,32,19
2022,11,November,0,16,6,9
2022,10,October,3,1,9,24
2022,9,September,0,0,5,7
2022,8,August,14,7,2,14
2022,7,July,1,1,18,24
2022,6,June,1,2,23,12
2022,5,May,4,0,40,13
2022,4,April,0,0,6,13
2022,3,March,4,7,16,12
2022,2,February,4,1,29,11
2022,1,January,0,0,3,12
2021,12,December,3,0,12,29
2021,11,November,8,14,0,5
2021,10,October,1,1,10,9
2021,9,September,1,0,10,25
2021,8,August,0,0,9,18
2021,7,July,0,2,34,33
2021,6,June,1,0,8,8
2021,5,May,0,0,0,8
2021,4,April,2,0,18,18
2021,2,February,0,0,4,4
2021,1,January,0,0,6,19
2020,12,December,2,0,52,23
2020,11,November,4,1,2,14
2020,10,October,1,0,2,2
2020,8,August,1,1,0,0
2020,7,July,8,2,0,6
2020,6,June,2,0,3,3
2020,5,May,2,0,0,0
2020,4,April,4,0,1,1
2020,3,March,6,14,21,20
2020,2,February,12,11,13,32
2020,1,January,4,0,11,20
2019,12,December,1,1,6,31
2019,11,November,21,20,17,34
2019,10,October,2,0,1,24
2019,9,September,18,1,17,31
2019,8,August,8,23,16,35
2019,7,July,0,0,0,4
2019,6,June,9,9,12,34
2019,5,May,0,3,7,14
2019,4,April,0,0,3,32
2019,3,March,12,22,15,21
2019,2,February,17,16,16,17
2019,1,January,3,2,5,48
