Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,5,0,0
2025,4,April,0,7,6,0
2025,3,March,0,9,6,0
2025,2,February,0,7,9,0
2025,1,January,0,1,7,0
2024,12,December,0,17,12,0
2024,10,October,0,1,1,0
2024,9,September,0,0,4,0
2024,8,August,0,5,2,0
2024,7,July,0,0,1,0
2024,6,June,0,0,2,0
2024,5,May,0,2,14,0
2024,3,March,0,9,19,0
2024,2,February,0,12,16,0
2024,1,January,0,27,6,0
2023,12,December,0,3,10,7
2023,11,November,0,0,9,0
2023,10,October,0,0,2,0
2023,8,August,0,5,2,0
2023,3,March,0,0,25,0
2023,2,February,0,13,2,0
2023,1,January,0,25,3,0
2022,12,December,0,0,6,0
2022,10,October,0,3,5,0
2022,9,September,0,0,2,0
2022,4,April,0,6,0,0
2022,3,March,0,0,5,0
2022,2,February,0,0,15,0
2022,1,January,0,7,2,0
2021,12,December,0,3,6,0
2021,11,November,0,0,4,0
2021,10,October,0,1,2,0
2021,4,April,0,0,7,0
2021,3,March,0,1,1,0
2021,1,January,0,0,1,0
2020,11,November,0,0,6,0
2020,10,October,0,1,5,0
2020,6,June,0,4,0,0
2020,2,February,0,1,0,0
2020,1,January,0,26,20,0
2019,12,December,0,4,8,0
2019,10,October,0,0,5,0
2019,9,September,0,0,1,0
2019,7,July,0,0,3,0
2019,6,June,0,2,1,0
2019,3,March,0,5,10,0
2019,2,February,0,0,7,0
2019,1,January,0,6,12,0
