Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,4,13,14
2025,7,July,202,9,21,153
2025,6,June,2,2,30,16
2025,5,May,4,5,33,1
2025,4,April,3,3,37,20
2025,3,March,0,29,22,13
2025,2,February,1,3,17,0
2025,1,January,1,1,0,18
2024,12,December,26,4,239,268
2024,11,November,4,3,18,7
2024,10,October,18,19,34,30
2024,9,September,1,7,11,0
2024,8,August,1,0,27,9
2024,7,July,3,28,58,143
2024,6,June,0,17,46,12
2024,5,May,0,12,6,3
2024,4,April,0,4,46,0
2024,3,March,0,17,28,28
2024,2,February,1,1,28,11
2024,1,January,3,0,13,10
2023,12,December,2,13,190,185
2023,11,November,18,32,44,22
2023,10,October,6,13,37,0
2023,9,September,0,2,11,9
2023,8,August,0,0,56,280
2023,7,July,2,2,229,210
2023,6,June,2,2,57,3
2023,5,May,5,4,25,12
2023,4,April,1,3,21,4
2023,3,March,16,12,39,28
2023,2,February,3,4,18,0
2023,1,January,0,0,32,8
2022,12,December,1,3,236,185
2022,11,November,3,14,12,10
2022,10,October,3,44,29,0
2022,9,September,10,28,20,0
2022,8,August,2,7,25,10
2022,7,July,8,5,24,14
2022,6,June,1,5,28,9
2022,5,May,0,6,42,17
2022,4,April,2,2,9,19
2022,3,March,40,22,62,42
2022,2,February,2,0,48,12
2022,1,January,0,0,30,16
2021,12,December,2,3,200,176
2021,11,November,3,11,6,1
2021,10,October,1,1,16,5
2021,9,September,119,0,43,149
2021,8,August,18,8,21,22
2021,7,July,3,6,36,5
2021,6,June,0,0,5,7
2021,4,April,0,0,29,11
2021,3,March,0,0,9,11
2020,12,December,0,0,0,1
2020,11,November,8,2,22,14
2020,10,October,0,0,3,1
2020,9,September,1,0,1,2
2020,8,August,1,0,1,2
2020,7,July,3,3,3,0
2020,6,June,1,0,6,6
2020,3,March,11,13,1655,2332
2020,2,February,17,175,3179,3121
2020,1,January,7,7,2025,1440
2019,12,December,9,13,149,135
2019,11,November,1,1,1,2
2019,10,October,2,0,24,4
2019,9,September,1,4,11,9
2019,8,August,0,7,22,0
2019,7,July,0,1,25,9
2019,6,June,6,9,10,32
2019,5,May,188,3,27,140
2019,4,April,12,4,70,904
2019,3,March,41,42,1457,3880
2019,2,February,16,6,1342,3126
2019,1,January,15,9,1589,1974
