Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,2,February,0,1,0,0
2025,1,January,0,1,0,0
2024,11,November,0,2,6,0
2024,10,October,0,0,0,8
2024,6,June,0,0,4,0
2024,5,May,0,0,1,0
2024,3,March,0,2,5,0
2023,11,November,0,3,1,0
2023,10,October,0,0,1,0
2023,7,July,0,1,14,0
2023,5,May,0,1,2,0
2023,3,March,0,0,1,0
2023,1,January,0,6,5,0
2022,12,December,0,5,5,0
2022,11,November,0,1,2,0
2022,10,October,0,5,6,0
2022,9,September,0,3,5,0
2022,8,August,0,0,8,0
2022,7,July,0,0,1,0
2022,6,June,0,20,0,0
2022,5,May,0,0,2,0
2022,3,March,0,0,23,0
2022,2,February,0,0,5,0
2022,1,January,0,1,2,0
2021,12,December,0,0,6,0
2021,11,November,0,0,1,0
2021,10,October,0,0,2,0
2021,9,September,0,5,0,0
2021,8,August,0,6,0,0
2021,7,July,0,0,2,0
2021,6,June,0,0,1,0
2021,4,April,0,0,3,0
2021,3,March,0,12,0,0
2021,2,February,0,0,1,0
2021,1,January,0,0,13,0
2020,12,December,0,0,1,0
2020,11,November,0,0,6,0
2020,10,October,0,1,2,0
2020,7,July,0,3,1,0
2020,6,June,0,0,1,0
2020,3,March,0,0,2,0
2020,2,February,0,0,8,0
2020,1,January,0,4,1,0
2019,12,December,0,0,6,0
2019,11,November,0,5,4,0
2019,10,October,0,4,4,0
2019,9,September,0,0,5,0
2019,8,August,0,4,8,0
2019,7,July,0,0,5,0
2019,5,May,0,6,10,0
2019,4,April,0,0,1,0
2019,3,March,0,5,12,0
2019,2,February,0,0,12,0
2019,1,January,0,2,21,0
