Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,6258,9096,10050,16617
2025,7,July,7176,8501,17850,21465
2025,6,June,5083,7044,16211,15862
2025,5,May,5385,6692,12007,13942
2025,4,April,5784,6638,12956,16208
2025,3,March,5007,6049,14958,19694
2025,2,February,4662,6163,13115,17639
2025,1,January,4814,8847,14101,20151
2024,12,December,6817,8810,14041,11547
2024,11,November,5003,8033,10076,10580
2024,10,October,4879,6674,8928,10339
2024,9,September,5418,6089,7629,8945
2024,8,August,7244,7798,10167,14854
2024,7,July,7465,7979,15697,18265
2024,6,June,5735,6363,14590,13282
2024,5,May,5359,5682,8667,9665
2024,4,April,4977,5453,7076,9427
2024,3,March,6496,6007,11429,12444
2024,2,February,5763,5642,10565,14038
2024,1,January,5577,8100,12047,16773
2023,12,December,6487,7777,14496,9028
2023,11,November,4479,5813,6947,7773
2023,10,October,5247,6259,8067,8540
2023,9,September,5443,5742,8010,7810
2023,8,August,6565,6918,8831,13030
2023,7,July,6501,6484,13899,15063
2023,6,June,5556,5256,13385,11064
2023,5,May,5297,5659,9405,10349
2023,4,April,5296,4886,8078,10708
2023,3,March,5248,4847,10027,11127
2023,2,February,4467,4455,10182,12450
2023,1,January,4650,6836,10863,14584
2022,12,December,5774,6567,13158,9465
2022,11,November,4400,6879,9721,10252
2022,10,October,4309,5804,7443,7984
2022,9,September,4384,5214,7335,7281
2022,8,August,5405,5868,7786,12331
2022,7,July,5426,5933,12983,13972
2022,6,June,4895,5089,12348,10509
2022,5,May,5098,5051,8393,9197
2022,4,April,4768,4357,9944,10936
2022,3,March,4143,3705,9479,10909
2022,2,February,3833,3309,9133,10362
2022,1,January,3847,5051,9146,11882
2021,12,December,3881,4829,11663,8860
2021,11,November,3427,5220,8886,9009
2021,10,October,4631,5377,8163,8068
2021,9,September,4713,4720,7270,7470
2021,8,August,5250,4927,7696,12217
2021,7,July,5713,5037,12180,13093
2021,6,June,4437,3762,10076,10824
2021,5,May,5215,4524,8758,9628
2021,4,April,3570,3123,6320,7975
2021,3,March,3136,2358,6098,6155
2021,2,February,2637,1675,3243,5044
2021,1,January,4011,3634,4983,9564
2020,12,December,3246,5033,8811,5291
2020,11,November,3005,4465,6046,5476
2020,10,October,3129,3620,4515,4534
2020,9,September,3231,3080,3977,4118
2020,8,August,3343,2906,3633,4996
2020,7,July,2926,2449,3730,4053
2020,6,June,1494,1267,1580,1707
2020,5,May,3,4,0,0
2020,4,April,366,457,417,827
2020,3,March,2888,2602,3349,5726
2020,2,February,3778,3438,7019,8663
2020,1,January,4837,6615,8452,12101
2019,12,December,6095,6454,11927,8999
2019,11,November,4534,6421,8650,8435
2019,10,October,4816,6137,6585,7133
2019,9,September,4777,5263,6230,6676
2019,8,August,5298,5831,7169,10646
2019,7,July,5848,5853,10827,12125
2019,6,June,4965,5033,11694,9974
2019,5,May,5863,5478,8054,8500
2019,4,April,5605,5109,7389,9159
2019,3,March,5291,4624,7543,9256
2019,2,February,4828,4195,7145,9118
2019,1,January,4799,5929,7595,10741
